CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719341532389,1719341534044,1719341534334,0,redCircle,redCircle,True
1719341534844,1719341536422,1719341536856,0,redCircle,redCircle,True
1719341537366,1719341538500,1719341539289,0,redCircle,redCircle,True
1719341539799,1719341541400,1719341541689,0,redCircle,redCircle,True
1719341542200,1719341543233,1719341544279,0,redCircle,redCircle,True
1719341544788,1719341546233,1719341546480,0,redCircle,redCircle,True
1719341546989,1719341548322,1719341548601,0,redCircle,redCircle,True
1719341549111,1719341550633,1719341550845,0,redCircle,redCircle,True
1719341551355,1719341552822,1719341553081,0,redCircle,redCircle,True
1719341553589,1719341554633,1719341554901,0,redCircle,redCircle,True
1719341555411,1719341556254,1719341556512,0,redCircle,redCircle,True
1719341557022,1719341558622,1719341558844,0,redCircle,redCircle,True
1719341559356,1719341560366,1719341560734,0,redCircle,redCircle,True
1719341561245,1719341562844,1719341563090,0,redCircle,redCircle,True
1719341563600,1719341564922,1719341565212,0,redCircle,redCircle,True
1719341565722,1719341566867,1719341567223,0,redCircle,redCircle,True
1719341567733,1719341568800,1719341569112,0,redCircle,redCircle,True
1719341569622,1719341571055,1719341571334,0,redCircle,redCircle,True
1719341571844,1719341572778,1719341573322,0,redCircle,redCircle,True
1719341573834,1719341575512,1719341575845,0,redCircle,redCircle,True
1719341576346,1719341577112,1719341579168,0,redCircle,redCircle,True
1719341579678,1719341580713,1719341581000,0,redCircle,redCircle,True
1719341581512,1719341582756,1719341583035,0,redCircle,redCircle,True
1719341583547,1719341584913,1719341585334,0,redCircle,redCircle,True
1719341585845,1719341587514,1719341587747,0,redCircle,redCircle,True
1719341588254,1719341589883,1719341607790,0,redCircle,redCircle,True
1719341608301,1719341609646,1719341609990,0,redCircle,redCircle,True
1719341610500,1719341611412,1719341611701,0,redCircle,redCircle,True
1719341612212,1719341613190,1719341613479,0,redCircle,redCircle,True
1719341613990,1719341615390,1719341615925,0,redCircle,redCircle,True
1719341616433,1719341617623,1719341617946,0,redCircle,redCircle,True
1719341618447,1719341619233,1719341619614,0,redCircle,redCircle,True
1719341620122,1719341620901,1719341621156,0,redCircle,redCircle,True
1719341621668,1719341622423,1719341622735,0,redCircle,redCircle,True
1719341623245,1719341624078,1719341624390,0,redCircle,redCircle,True
1719341624901,1719341626033,1719341626501,0,redCircle,redCircle,True
1719341627013,1719341628645,1719341628890,0,redCircle,redCircle,True
1719341629401,1719341630433,1719341630757,0,redCircle,redCircle,True
1719341631268,1719341632789,1719341633045,0,redCircle,redCircle,True
1719341633547,1719341634534,1719341634847,0,redCircle,redCircle,True
1719341635348,1719341636368,1719341636646,0,redCircle,redCircle,True
1719341637146,1719341638622,1719341638656,0,redCircle,redCircle,True
1719341639167,1719341640278,1719341640557,0,redCircle,redCircle,True
1719341641068,1719341642356,1719341642701,0,redCircle,redCircle,True
1719341643213,1719341644202,1719341644490,0,redCircle,redCircle,True
1719341645001,1719341646025,1719341646268,0,redCircle,redCircle,True
1719341646778,1719341648478,1719341648701,0,redCircle,redCircle,True
1719341649213,1719341650481,1719341650847,0,redCircle,redCircle,True
1719341651356,1719341652981,1719341653246,0,redCircle,redCircle,True
1719341653757,1719341654813,1719341655213,0,redCircle,redCircle,True
1719341655723,1719341657035,1719341657825,0,redCircle,redCircle,True
1719341658334,1719341659413,1719341659780,0,redCircle,redCircle,True
1719341660281,1719341661456,1719341661924,0,redCircle,redCircle,True
1719341662434,1719341663648,1719341664035,0,redCircle,redCircle,True
1719341664548,1719341666091,1719341666368,0,redCircle,redCircle,True
1719341666879,1719341667635,1719341668335,0,redCircle,redCircle,True
1719341668846,1719341669947,1719341670035,0,redCircle,redCircle,True
1719341670546,1719341672080,1719341672268,0,redCircle,redCircle,True
1719341672779,1719341674201,1719341674513,0,redCircle,redCircle,True
1719341675023,1719341676167,1719341677980,0,redCircle,redCircle,True
1719341678490,1719341679269,1719341679647,0,redCircle,redCircle,True
1719341680156,1719341681790,1719341682080,0,redCircle,redCircle,True
1719341682591,1719341683990,1719341684315,0,redCircle,redCircle,True
1719341684823,1719341685868,1719341686602,0,redCircle,redCircle,True
1719341687113,1719341688556,1719341688847,0,redCircle,redCircle,True
1719341689357,1719341690856,1719341691124,0,redCircle,redCircle,True
1719341691634,1719341693223,1719341693492,0,redCircle,redCircle,True
1719341694001,1719341694990,1719341695580,0,redCircle,redCircle,True
1719341696090,1719341697002,1719341697369,0,redCircle,redCircle,True
1719341697881,1719341699580,1719341700436,0,redCircle,redCircle,True
1719341700947,1719341701690,1719341703135,0,redCircle,redCircle,True
1719341703647,1719341704902,1719341705015,0,redCircle,redCircle,True
1719341705523,1719341706481,1719341706835,0,redCircle,redCircle,True
1719341707346,1719341708457,1719341708681,0,redCircle,redCircle,True
1719341709191,1719341710778,1719341711081,0,redCircle,redCircle,True
1719341711590,1719341712357,1719341713102,0,redCircle,redCircle,True
1719341713614,1719341714746,1719341715058,0,redCircle,redCircle,True
1719341715568,1719341716868,1719341718347,0,redCircle,redCircle,True
1719341718858,1719341720469,1719341720758,0,redCircle,redCircle,True
1719341721268,1719341722813,1719341723649,0,redCircle,redCircle,True
1719341724157,1719341725414,1719341725714,0,redCircle,redCircle,True
1719341726224,1719341727791,1719341728103,0,redCircle,redCircle,True
1719341728613,1719341729534,1719341730192,0,redCircle,redCircle,True
1719341730702,1719341732257,1719341734091,0,redCircle,redCircle,True
1719341734602,1719341735435,1719341737558,0,redCircle,redCircle,True
1719341738069,1719341739736,1719341740015,0,redCircle,redCircle,True
1719341740525,1719341741402,1719341741681,0,redCircle,redCircle,True
1719341742182,1719341743613,1719341743891,0,redCircle,redCircle,True
1719341744401,1719341746103,1719341746358,0,redCircle,redCircle,True
1719341746868,1719341748102,1719341748380,0,redCircle,redCircle,True
1719341748891,1719341750458,1719341750815,0,redCircle,redCircle,True
1719341751324,1719341752169,1719341752470,0,redCircle,redCircle,True
1719341752982,1719341754614,1719341754870,0,redCircle,redCircle,True
1719341755381,1719341756891,1719341757124,0,redCircle,redCircle,True
1719341757635,1719341759057,1719341759226,0,redCircle,redCircle,True
1719341759735,1719341760624,1719341760882,0,redCircle,redCircle,True
1719341761391,1719341762568,1719341762682,0,redCircle,redCircle,True
1719341763191,1719341764125,1719341764358,0,redCircle,redCircle,True
1719341764868,1719341766113,1719341766348,0,redCircle,redCircle,True
1719341766858,1719341768102,1719341769214,0,redCircle,redCircle,True
