CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719344250933,1719344251656,1719344251956,0,redCircle,redCircle,True
1719344252467,1719344253333,1719344253579,0,redCircle,redCircle,True
1719344254089,1719344255012,1719344255356,0,redCircle,redCircle,True
1719344255867,1719344257223,1719344257535,0,redCircle,redCircle,True
1719344258044,1719344259034,1719344259357,0,redCircle,redCircle,True
1719344259868,1719344260733,1719344261046,0,redCircle,redCircle,True
1719344261555,1719344262790,1719344263090,0,redCircle,redCircle,True
1719344263600,1719344265012,1719344265268,0,redCircle,redCircle,True
1719344265778,1719344266989,1719344267268,0,redCircle,redCircle,True
1719344267778,1719344269112,1719344269390,0,redCircle,redCircle,True
1719344269901,1719344271234,1719344271522,0,redCircle,redCircle,True
1719344272034,1719344273000,1719344273312,0,redCircle,redCircle,True
1719344273822,1719344275523,1719344275824,0,redCircle,redCircle,True
1719344276334,1719344277790,1719344278067,0,redCircle,redCircle,True
1719344278578,1719344280078,1719344280368,0,redCircle,redCircle,True
1719344280879,1719344282089,1719344282535,0,redCircle,redCircle,True
1719344283046,1719344283868,1719344284268,0,redCircle,redCircle,True
1719344284779,1719344285946,1719344286246,0,redCircle,redCircle,True
1719344286756,1719344287756,1719344288069,0,redCircle,redCircle,True
1719344288577,1719344289789,1719344290056,0,redCircle,redCircle,True
1719344290568,1719344291735,1719344292013,0,redCircle,redCircle,True
1719344292523,1719344293401,1719344293701,0,redCircle,redCircle,True
1719344294212,1719344295279,1719344295601,0,redCircle,redCircle,True
1719344296112,1719344296867,1719344297147,0,redCircle,redCircle,True
1719344297655,1719344298512,1719344298814,0,redCircle,redCircle,True
1719344299324,1719344300513,1719344300791,0,redCircle,redCircle,True
1719344301301,1719344302791,1719344303068,0,redCircle,redCircle,True
1719344303579,1719344304312,1719344304635,0,redCircle,redCircle,True
1719344305146,1719344306679,1719344306957,0,redCircle,redCircle,True
1719344307468,1719344309112,1719344309379,0,redCircle,redCircle,True
1719344309890,1719344310679,1719344310979,0,redCircle,redCircle,True
1719344311490,1719344312356,1719344312724,0,redCircle,redCircle,True
1719344313235,1719344314412,1719344314701,0,redCircle,redCircle,True
1719344315212,1719344315969,1719344316302,0,redCircle,redCircle,True
