CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719432467344,1719432468630,1719432469033,0,redCircle,redCircle,True
1719432469545,1719432470632,1719432471044,0,greenCircle,greenCircle,True
1719432471553,1719432472268,1719432472744,0,redCircle,redCircle,True
1719432473255,1719432474025,1719432474425,0,greenCircle,redCircle,False
1719432474931,1719432476481,1719432476831,0,redCircle,redCircle,True
1719432477341,1719432478115,1719432478476,0,greenCircle,greenCircle,True
1719432478977,1719432479773,1719432480119,0,greenCircle,greenCircle,True
1719432480624,1719432481707,1719432482152,0,greenCircle,greenCircle,True
1719432482663,1719432483821,1719432484226,0,greenCircle,greenCircle,True
1719432484738,1719432485934,1719432486371,0,redCircle,redCircle,True
1719432486872,1719432487667,1719432488017,0,redCircle,redCircle,True
1719432488521,1719432489772,1719432490202,0,greenCircle,greenCircle,True
1719432490708,1719432492212,1719432492614,0,redCircle,redCircle,True
1719432493118,1719432494610,1719432494967,0,greenCircle,greenCircle,True
1719432495467,1719432497084,1719432497487,0,redCircle,redCircle,True
1719432497998,1719432499425,1719432499753,0,redCircle,redCircle,True
1719432500262,1719432501720,1719432502148,0,redCircle,redCircle,True
1719432502665,1719432504082,1719432504427,0,redCircle,redCircle,True
1719432504938,1719432505986,1719432506289,0,redCircle,redCircle,True
1719432506800,1719432507592,1719432507935,0,redCircle,redCircle,True
1719432508451,1719432509254,1719432509673,0,redCircle,redCircle,True
1719432510188,1719432511206,1719432511670,0,greenCircle,greenCircle,True
1719432512172,1719432513198,1719432513673,0,redCircle,redCircle,True
1719432514182,1719432515186,1719432515598,0,greenCircle,greenCircle,True
1719432516111,1719432517650,1719432518010,0,redCircle,redCircle,True
1719432518516,1719432519572,1719432519918,0,redCircle,redCircle,True
1719432520431,1719432521382,1719432521720,0,redCircle,redCircle,True
1719432522221,1719432523910,1719432524279,0,redCircle,redCircle,True
1719432524784,1719432525688,1719432526033,0,redCircle,redCircle,True
1719432526534,1719432527650,1719432528086,0,greenCircle,greenCircle,True
1719432528593,1719432529373,1719432529751,0,redCircle,redCircle,True
1719432530263,1719432531161,1719432531744,0,redCircle,redCircle,True
1719432532254,1719432533429,1719432533816,0,redCircle,redCircle,True
1719432534325,1719432535184,1719432535642,0,greenCircle,greenCircle,True
1719432536150,1719432537626,1719432538097,0,greenCircle,greenCircle,True
1719432538601,1719432540285,1719432540852,0,greenCircle,greenCircle,True
1719432541363,1719432543018,1719432543409,0,redCircle,redCircle,True
1719432543917,1719432544895,1719432545298,0,greenCircle,greenCircle,True
1719432545804,1719432546819,1719432547275,0,redCircle,redCircle,True
1719432547778,1719432548982,1719432549365,0,greenCircle,greenCircle,True
1719432549870,1719432550956,1719432551330,0,greenCircle,greenCircle,True
1719432551832,1719432552833,1719432553254,0,redCircle,redCircle,True
1719432553761,1719432554584,1719432555002,0,greenCircle,greenCircle,True
1719432555504,1719432556252,1719432556650,0,greenCircle,greenCircle,True
1719432557153,1719432558147,1719432558504,0,greenCircle,greenCircle,True
1719432559009,1719432560374,1719432560790,0,redCircle,redCircle,True
1719432561297,1719432562536,1719432562881,0,redCircle,redCircle,True
1719432563382,1719432564600,1719432565065,0,greenCircle,greenCircle,True
1719432565581,1719432566918,1719432567406,0,redCircle,redCircle,True
1719432567918,1719432569481,1719432569808,0,greenCircle,greenCircle,True
1719432570313,1719432571667,1719432572053,0,greenCircle,greenCircle,True
1719432572556,1719432573467,1719432573896,0,redCircle,redCircle,True
1719432574401,1719432575542,1719432575986,0,redCircle,redCircle,True
1719432576487,1719432577557,1719432577885,0,redCircle,redCircle,True
1719432578386,1719432579817,1719432580132,0,redCircle,redCircle,True
1719432580634,1719432582171,1719432582585,0,redCircle,redCircle,True
1719432583086,1719432584667,1719432585110,0,greenCircle,greenCircle,True
1719432585616,1719432586839,1719432587225,0,greenCircle,greenCircle,True
1719432587727,1719432588537,1719432588936,0,greenCircle,greenCircle,True
1719432589447,1719432591063,1719432591575,0,redCircle,redCircle,True
1719432592076,1719432593499,1719432593839,0,redCircle,redCircle,True
1719432594344,1719432595164,1719432595592,0,greenCircle,greenCircle,True
1719432596098,1719432597219,1719432597591,0,greenCircle,greenCircle,True
1719432598098,1719432599701,1719432600092,0,redCircle,redCircle,True
1719432600598,1719432601375,1719432601774,0,greenCircle,greenCircle,True
1719432602279,1719432603275,1719432603687,0,redCircle,redCircle,True
1719432604197,1719432604989,1719432605379,0,greenCircle,greenCircle,True
1719432605885,1719432606687,1719432607030,0,greenCircle,greenCircle,True
1719432607535,1719432608870,1719432609283,0,redCircle,greenCircle,False
1719432609785,1719432611096,1719432611549,0,greenCircle,greenCircle,True
1719432612052,1719432613771,1719432614287,0,greenCircle,greenCircle,True
1719432614793,1719432616298,1719432616783,0,greenCircle,greenCircle,True
1719432617286,1719432618453,1719432618965,0,greenCircle,greenCircle,True
1719432619470,1719432620396,1719432620752,0,greenCircle,greenCircle,True
1719432621255,1719432622451,1719432622892,0,greenCircle,greenCircle,True
1719432623403,1719432624299,1719432624658,0,redCircle,redCircle,True
1719432625168,1719432626418,1719432626855,0,greenCircle,greenCircle,True
1719432627359,1719432628968,1719432629498,0,redCircle,redCircle,True
1719432630000,1719432631323,1719432631690,0,greenCircle,greenCircle,True
1719432632203,1719432633478,1719432633903,0,redCircle,redCircle,True
1719432634406,1719432636039,1719432636509,0,redCircle,redCircle,True
1719432637014,1719432638127,1719432638481,0,redCircle,redCircle,True
1719432638985,1719432640624,1719432641109,0,greenCircle,greenCircle,True
1719432641612,1719432643101,1719432643560,0,redCircle,redCircle,True
1719432644068,1719432644836,1719432645249,0,redCircle,redCircle,True
1719432645754,1719432647413,1719432647858,0,redCircle,redCircle,True
1719432648367,1719432649856,1719432650284,0,redCircle,redCircle,True
1719432650788,1719432651694,1719432652065,0,greenCircle,greenCircle,True
1719432652579,1719432654116,1719432654456,0,redCircle,redCircle,True
1719432654959,1719432656618,1719432657075,0,greenCircle,greenCircle,True
1719432657579,1719432658609,1719432658953,0,redCircle,redCircle,True
1719432659458,1719432660412,1719432660744,0,redCircle,redCircle,True
1719432661255,1719432662854,1719432663267,0,greenCircle,greenCircle,True
1719432663780,1719432665247,1719432665648,0,redCircle,redCircle,True
1719432666154,1719432667189,1719432667549,0,redCircle,redCircle,True
1719432668051,1719432669687,1719432670129,0,greenCircle,greenCircle,True
