CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719342267091,1719342268736,1719342269137,0,redCircle,redCircle,True
1719342269646,1719342270391,1719342270893,0,redCircle,redCircle,True
1719342271403,1719342272373,1719342272677,0,redCircle,redCircle,True
1719342273182,1719342274813,1719342275104,0,redCircle,redCircle,True
1719342275614,1719342277095,1719342277397,0,redCircle,redCircle,True
1719342277905,1719342278940,1719342279242,0,redCircle,redCircle,True
1719342279746,1719342280728,1719342281027,0,redCircle,redCircle,True
1719342281530,1719342282280,1719342282694,0,redCircle,redCircle,True
1719342283198,1719342284642,1719342284914,0,redCircle,redCircle,True
1719342285420,1719342286308,1719342286651,0,redCircle,redCircle,True
1719342287152,1719342287866,1719342288199,0,redCircle,redCircle,True
1719342288713,1719342289576,1719342289889,0,redCircle,redCircle,True
1719342290390,1719342291683,1719342291984,0,redCircle,redCircle,True
1719342292485,1719342293848,1719342294147,0,redCircle,redCircle,True
1719342294653,1719342295424,1719342295868,0,redCircle,redCircle,True
1719342296380,1719342297638,1719342297953,0,redCircle,redCircle,True
1719342298454,1719342299541,1719342299813,0,redCircle,redCircle,True
1719342300318,1719342301858,1719342301903,0,redCircle,redCircle,True
1719342302419,1719342303557,1719342303857,0,redCircle,redCircle,True
1719342304360,1719342305618,1719342305949,0,redCircle,redCircle,True
1719342306455,1719342307653,1719342307943,0,redCircle,redCircle,True
1719342308449,1719342309313,1719342309641,0,redCircle,redCircle,True
1719342310154,1719342311708,1719342311969,0,redCircle,redCircle,True
1719342312471,1719342313513,1719342313877,0,redCircle,redCircle,True
1719342314383,1719342315931,1719342316246,0,redCircle,redCircle,True
1719342316760,1719342318407,1719342318694,0,redCircle,redCircle,True
1719342319197,1719342320073,1719342320463,0,redCircle,redCircle,True
1719342320976,1719342321693,1719342322094,0,redCircle,redCircle,True
1719342322598,1719342324036,1719342324350,0,redCircle,redCircle,True
1719342324863,1719342325731,1719342326222,0,redCircle,redCircle,True
1719342326738,1719342327695,1719342327987,0,redCircle,redCircle,True
1719342328493,1719342329397,1719342329773,0,redCircle,redCircle,True
1719342330279,1719342331024,1719342331378,0,redCircle,redCircle,True
1719342331879,1719342332637,1719342332999,0,redCircle,redCircle,True
1719342333507,1719342334699,1719342334977,0,redCircle,redCircle,True
1719342335483,1719342336573,1719342336885,0,redCircle,redCircle,True
1719342337399,1719342338463,1719342338846,0,redCircle,redCircle,True
1719342339352,1719342340383,1719342340896,0,redCircle,redCircle,True
1719342341399,1719342343105,1719342343433,0,redCircle,redCircle,True
1719342343934,1719342345495,1719342345782,0,redCircle,redCircle,True
1719342346288,1719342348003,1719342348289,0,redCircle,redCircle,True
1719342348794,1719342349509,1719342349910,0,redCircle,redCircle,True
1719342350421,1719342351510,1719342351799,0,redCircle,redCircle,True
1719342352306,1719342353466,1719342353784,0,redCircle,redCircle,True
1719342354287,1719342355447,1719342355738,0,redCircle,redCircle,True
1719342356244,1719342357882,1719342358110,0,redCircle,redCircle,True
1719342358614,1719342359458,1719342359846,0,redCircle,redCircle,True
1719342360356,1719342361931,1719342362217,0,redCircle,redCircle,True
1719342362732,1719342364206,1719342364548,0,redCircle,redCircle,True
1719342365049,1719342366698,1719342366945,0,redCircle,redCircle,True
1719342367449,1719342369111,1719342369429,0,redCircle,redCircle,True
1719342369931,1719342371333,1719342371641,0,redCircle,redCircle,True
1719342372146,1719342373234,1719342373765,0,redCircle,redCircle,True
1719342374275,1719342375539,1719342375854,0,redCircle,redCircle,True
