CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719430459186,1719430460452,1719430460709,0,redCircle,redCircle,True
1719430461219,1719430462842,1719430463076,0,redCircle,redCircle,True
1719430463586,1719430465187,1719430465265,0,redCircle,redCircle,True
1719430465775,1719430467453,1719430467698,0,redCircle,redCircle,True
1719430468209,1719430469375,1719430469632,0,redCircle,redCircle,True
1719430470141,1719430471253,1719430471532,0,redCircle,redCircle,True
1719430472041,1719430472764,1719430473076,0,redCircle,redCircle,True
1719430473585,1719430475164,1719430475442,0,redCircle,redCircle,True
1719430475953,1719430477131,1719430477442,0,redCircle,redCircle,True
1719430477953,1719430478797,1719430479099,0,redCircle,redCircle,True
1719430479609,1719430480975,1719430481220,0,redCircle,redCircle,True
1719430481730,1719430482853,1719430483132,0,redCircle,redCircle,True
1719430483641,1719430484519,1719430484832,0,redCircle,redCircle,True
1719430485340,1719430486408,1719430486654,0,redCircle,redCircle,True
1719430487164,1719430488064,1719430488354,0,redCircle,redCircle,True
1719430488864,1719430490542,1719430490842,0,redCircle,redCircle,True
1719430491352,1719430492252,1719430492643,0,redCircle,redCircle,True
1719430493152,1719430494641,1719430494921,0,redCircle,redCircle,True
1719430495431,1719430496376,1719430496698,0,redCircle,redCircle,True
1719430497209,1719430498675,1719430498920,0,redCircle,redCircle,True
1719430499431,1719430500487,1719430500787,0,redCircle,redCircle,True
1719430501298,1719430502809,1719430503076,0,redCircle,redCircle,True
1719430503586,1719430504508,1719430504810,0,redCircle,redCircle,True
1719430505320,1719430506387,1719430506654,0,redCircle,redCircle,True
1719430507165,1719430508264,1719430508543,0,redCircle,redCircle,True
1719430509053,1719430510542,1719430510821,0,redCircle,redCircle,True
1719430511331,1719430512497,1719430512787,0,redCircle,redCircle,True
1719430513297,1719430514831,1719430515098,0,redCircle,redCircle,True
1719430515609,1719430516620,1719430516921,0,redCircle,redCircle,True
1719430517431,1719430518631,1719430518899,0,redCircle,redCircle,True
1719430519409,1719430520831,1719430521098,0,redCircle,redCircle,True
1719430521609,1719430522909,1719430523154,0,redCircle,redCircle,True
1719430523665,1719430524686,1719430524976,0,redCircle,redCircle,True
1719430525487,1719430526342,1719430526599,0,redCircle,redCircle,True
1719430527109,1719430527987,1719430528232,0,redCircle,redCircle,True
1719430528742,1719430530097,1719430530344,0,redCircle,redCircle,True
1719430530854,1719430532443,1719430532699,0,redCircle,redCircle,True
1719430533209,1719430534875,1719430535144,0,redCircle,redCircle,True
1719430535654,1719430537154,1719430537421,0,redCircle,redCircle,True
