CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719429530124,1719429531575,1719429545411,0,redCircle,redCircle,True
1719429545922,1719429547110,1719429550127,0,redCircle,redCircle,True
1719429550642,1719429551356,1719429605470,0,redCircle,redCircle,True
1719429605974,1719429606918,1719429609041,0,redCircle,redCircle,True
1719429609544,1719429611191,1719429702487,0,redCircle,redCircle,True
1719429702991,1719429704568,1719429706011,0,redCircle,redCircle,True
1719429706524,1719429708147,1719429708779,0,redCircle,redCircle,True
1719429709283,1719429710862,1719429711595,0,redCircle,redCircle,True
1719429712096,1719429713600,1719429715516,0,redCircle,redCircle,True
1719429716032,1719429717165,1719429718245,0,redCircle,redCircle,True
1719429718755,1719429719511,1719429720730,0,redCircle,redCircle,True
1719429721247,1719429722912,1719429723265,0,redCircle,redCircle,True
1719429723778,1719429725456,1719429725910,0,redCircle,redCircle,True
1719429726412,1719429727481,1719429727956,0,redCircle,redCircle,True
1719429728461,1719429729415,1719429729900,0,redCircle,redCircle,True
1719429730405,1719429732126,1719429732607,0,redCircle,redCircle,True
1719429733110,1719429734661,1719429735274,0,redCircle,redCircle,True
1719429735788,1719429736527,1719429737111,0,redCircle,redCircle,True
1719429737614,1719429738993,1719429739377,0,redCircle,redCircle,True
1719429739880,1719429741287,1719429741672,0,redCircle,redCircle,True
1719429742180,1719429743432,1719429743833,0,redCircle,redCircle,True
1719429744340,1719429745932,1719429746416,0,redCircle,redCircle,True
1719429746930,1719429747656,1719429748181,0,redCircle,redCircle,True
1719429748689,1719429749569,1719429750281,0,redCircle,redCircle,True
1719429750795,1719429752393,1719429754494,0,redCircle,redCircle,True
1719429754997,1719429755911,1719429756466,0,redCircle,redCircle,True
1719429756968,1719429758580,1719429759066,0,redCircle,redCircle,True
1719429759567,1719429760810,1719429762166,0,redCircle,redCircle,True
1719429762679,1719429763816,1719429764814,0,redCircle,redCircle,True
1719429765317,1719429766632,1719429767066,0,redCircle,redCircle,True
1719429767567,1719429769274,1719429769895,0,redCircle,redCircle,True
1719429770398,1719429771483,1719429771941,0,redCircle,redCircle,True
1719429772443,1719429774137,1719429774682,0,redCircle,redCircle,True
1719429775194,1719429776391,1719429777077,0,redCircle,redCircle,True
1719429777583,1719429779259,1719429779818,0,redCircle,redCircle,True
1719429780327,1719429781942,1719429783660,0,redCircle,redCircle,True
1719429784166,1719429785577,1719429786147,0,redCircle,redCircle,True
1719429786660,1719429788356,1719429789498,0,redCircle,redCircle,True
1719429790007,1719429791619,1719429792328,0,redCircle,redCircle,True
1719429792829,1719429794058,1719429794416,0,redCircle,redCircle,True
1719429794919,1719429795682,1719429796025,0,redCircle,redCircle,True
1719429796533,1719429797381,1719429797684,0,redCircle,redCircle,True
1719429798194,1719429799775,1719429800135,0,redCircle,redCircle,True
1719429800648,1719429802173,1719429802534,0,redCircle,redCircle,True
1719429803039,1719429804234,1719429804581,0,redCircle,redCircle,True
1719429805085,1719429806777,1719429807163,0,redCircle,redCircle,True
1719429807664,1719429808894,1719429809282,0,redCircle,redCircle,True
1719429809784,1719429810882,1719429811333,0,redCircle,redCircle,True
1719429811847,1719429812564,1719429812907,0,redCircle,redCircle,True
1719429813417,1719429814217,1719429814459,0,redCircle,redCircle,True
1719429814966,1719429816540,1719429816965,0,redCircle,redCircle,True
1719429817470,1719429819127,1719429819556,0,redCircle,redCircle,True
1719429820068,1719429821067,1719429821545,0,redCircle,redCircle,True
1719429822050,1719429823513,1719429824070,0,redCircle,redCircle,True
1719429824575,1719429825972,1719429826516,0,redCircle,redCircle,True
1719429827028,1719429827764,1719429828303,0,redCircle,redCircle,True
1719429828808,1719429829607,1719429829921,0,redCircle,redCircle,True
1719429830429,1719429831283,1719429831627,0,redCircle,redCircle,True
1719429832134,1719429833084,1719429833444,0,redCircle,redCircle,True
1719429833957,1719429835580,1719429835926,0,redCircle,redCircle,True
1719429836431,1719429837342,1719429837713,0,redCircle,redCircle,True
1719429838219,1719429839802,1719429840367,0,redCircle,redCircle,True
1719429840874,1719429841938,1719429842330,0,redCircle,redCircle,True
1719429842835,1719429843777,1719429844079,0,redCircle,redCircle,True
1719429844583,1719429845718,1719429846004,0,redCircle,redCircle,True
1719429846506,1719429847525,1719429847852,0,redCircle,redCircle,True
1719429848354,1719429849677,1719429850002,0,redCircle,redCircle,True
1719429850511,1719429851269,1719429851571,0,redCircle,redCircle,True
1719429852086,1719429853201,1719429853762,0,redCircle,redCircle,True
1719429854269,1719429855979,1719429856351,0,redCircle,redCircle,True
1719429856864,1719429857671,1719429858144,0,redCircle,redCircle,True
1719429858648,1719429859684,1719429860013,0,redCircle,redCircle,True
