CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719429529434,1719429530923,1719429531268,0,redCircle,redCircle,True
1719429531777,1719429532612,1719429532990,0,redCircle,redCircle,True
1719429533500,1719429534623,1719429534957,0,redCircle,redCircle,True
1719429535467,1719429536845,1719429537190,0,redCircle,redCircle,True
1719429537701,1719429539145,1719429539468,0,redCircle,redCircle,True
1719429539978,1719429540900,1719429541302,0,redCircle,redCircle,True
1719429541812,1719429543101,1719429543379,0,redCircle,redCircle,True
1719429543889,1719429545356,1719429545646,0,redCircle,redCircle,True
1719429546156,1719429547623,1719429547933,0,redCircle,redCircle,True
1719429548445,1719429549233,1719429549646,0,redCircle,redCircle,True
1719429550156,1719429551733,1719429552024,0,redCircle,redCircle,True
1719429552534,1719429553433,1719429553734,0,redCircle,redCircle,True
1719429554245,1719429555945,1719429556235,0,redCircle,redCircle,True
1719429556744,1719429558133,1719429558502,0,redCircle,redCircle,True
1719429559012,1719429560290,1719429560568,0,redCircle,redCircle,True
1719429561079,1719429562389,1719429562669,0,redCircle,redCircle,True
1719429563179,1719429564312,1719429564580,0,redCircle,redCircle,True
1719429565089,1719429566156,1719429566447,0,redCircle,redCircle,True
1719429566956,1719429568535,1719429568813,0,redCircle,redCircle,True
1719429569323,1719429570802,1719429571091,0,redCircle,redCircle,True
1719429571602,1719429572489,1719429572834,0,redCircle,redCircle,True
1719429573345,1719429574622,1719429574902,0,redCircle,redCircle,True
1719429575412,1719429576745,1719429577012,0,redCircle,redCircle,True
1719429577522,1719429579157,1719429579691,0,redCircle,redCircle,True
1719429580201,1719429581012,1719429581402,0,redCircle,redCircle,True
1719429581912,1719429582768,1719429583046,0,redCircle,redCircle,True
1719429583557,1719429584879,1719429585158,0,redCircle,redCircle,True
1719429585667,1719429586813,1719429587091,0,redCircle,redCircle,True
1719429587600,1719429588922,1719429589202,0,redCircle,redCircle,True
1719429589712,1719429590824,1719429591124,0,redCircle,redCircle,True
1719429591634,1719429592556,1719429592902,0,redCircle,redCircle,True
1719429593413,1719429594811,1719429595125,0,redCircle,redCircle,True
1719429595634,1719429596635,1719429597002,0,redCircle,redCircle,True
1719429597511,1719429598323,1719429598769,0,redCircle,redCircle,True
1719429599279,1719429600601,1719429600924,0,redCircle,redCircle,True
1719429601434,1719429602457,1719429602725,0,redCircle,redCircle,True
1719429603234,1719429604525,1719429604824,0,redCircle,redCircle,True
1719429605334,1719429606690,1719429606979,0,redCircle,redCircle,True
1719429607490,1719429608268,1719429608713,0,redCircle,redCircle,True
1719429609223,1719429610867,1719429611203,0,redCircle,redCircle,True
1719429611712,1719429613335,1719429613646,0,redCircle,redCircle,True
1719429614156,1719429615690,1719429615992,0,redCircle,redCircle,True
1719429616502,1719429617857,1719429618358,0,redCircle,redCircle,True
1719429618868,1719429619634,1719429620091,0,redCircle,redCircle,True
1719429620601,1719429622291,1719429622647,0,redCircle,redCircle,True
1719429623157,1719429624168,1719429624469,0,redCircle,redCircle,True
1719429624979,1719429625868,1719429626147,0,redCircle,redCircle,True
1719429626657,1719429627946,1719429628258,0,redCircle,redCircle,True
1719429628768,1719429629879,1719429630202,0,redCircle,redCircle,True
1719429630712,1719429631769,1719429632125,0,redCircle,redCircle,True
1719429632635,1719429633679,1719429633959,0,redCircle,redCircle,True
1719429634467,1719429635946,1719429636247,0,redCircle,redCircle,True
1719429636757,1719429637990,1719429638314,0,redCircle,redCircle,True
1719429638823,1719429640101,1719429640381,0,redCircle,redCircle,True
1719429640891,1719429642169,1719429642446,0,redCircle,redCircle,True
1719429642955,1719429644291,1719429644536,0,redCircle,redCircle,True
1719429645045,1719429646758,1719429647081,0,redCircle,redCircle,True
1719429647591,1719429648802,1719429649103,0,redCircle,redCircle,True
1719429649613,1719429650335,1719429650813,0,redCircle,redCircle,True
1719429651323,1719429652679,1719429652891,0,redCircle,redCircle,True
1719429653402,1719429655079,1719429655359,0,redCircle,redCircle,True
1719429655869,1719429657202,1719429657525,0,redCircle,redCircle,True
1719429658035,1719429658924,1719429659636,0,redCircle,redCircle,True
1719429660146,1719429661335,1719429661581,0,redCircle,redCircle,True
1719429662091,1719429663190,1719429663469,0,redCircle,redCircle,True
1719429663980,1719429665101,1719429665413,0,redCircle,redCircle,True
1719429665924,1719429667324,1719429667603,0,redCircle,redCircle,True
1719429668112,1719429669225,1719429669524,0,redCircle,redCircle,True
1719429670035,1719429671613,1719429671948,0,redCircle,redCircle,True
1719429672458,1719429673546,1719429673892,0,redCircle,redCircle,True
1719429674402,1719429675424,1719429675703,0,redCircle,redCircle,True
1719429676212,1719429677546,1719429677792,0,redCircle,redCircle,True
1719429678301,1719429679068,1719429679358,0,redCircle,redCircle,True
1719429679869,1719429681003,1719429681270,0,redCircle,redCircle,True
1719429681780,1719429682813,1719429683103,0,redCircle,redCircle,True
1719429683613,1719429685212,1719429685903,0,redCircle,redCircle,True
1719429686412,1719429687146,1719429687547,0,redCircle,redCircle,True
1719429688057,1719429688913,1719429689280,0,redCircle,redCircle,True
1719429689790,1719429690757,1719429691070,0,redCircle,redCircle,True
1719429691580,1719429693234,1719429693525,0,redCircle,redCircle,True
1719429694035,1719429695647,1719429695937,0,redCircle,redCircle,True
1719429696446,1719429697624,1719429698070,0,redCircle,redCircle,True
1719429698579,1719429699968,1719429700281,0,redCircle,redCircle,True
1719429700791,1719429701747,1719429702026,0,redCircle,redCircle,True
1719429702535,1719429703735,1719429704081,0,redCircle,redCircle,True
1719429704591,1719429705735,1719429706059,0,redCircle,redCircle,True
1719429706568,1719429708114,1719429708414,0,redCircle,redCircle,True
1719429708924,1719429710057,1719429710381,0,redCircle,redCircle,True
1719429710890,1719429712135,1719429712426,0,redCircle,redCircle,True
1719429712935,1719429714347,1719429714693,0,redCircle,redCircle,True
1719429715202,1719429716359,1719429716815,0,redCircle,redCircle,True
1719429717325,1719429718947,1719429719304,0,redCircle,redCircle,True
1719429719812,1719429721490,1719429721781,0,redCircle,redCircle,True
1719429722291,1719429723136,1719429723481,0,redCircle,redCircle,True
1719429723991,1719429724890,1719429725181,0,redCircle,redCircle,True
1719429725691,1719429726636,1719429726903,0,redCircle,redCircle,True
1719429727413,1719429728480,1719429728726,0,redCircle,redCircle,True
1719429729236,1719429730047,1719429730359,0,redCircle,redCircle,True
1719429730869,1719429731768,1719429732048,0,redCircle,redCircle,True
1719429732558,1719429733614,1719429733903,0,redCircle,redCircle,True
