CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1726086365066,1726086366334,1726086366724,0,redCircle,redCircle,True
1726086367237,1726086368504,1726086368849,0,redCircle,redCircle,True
1726086369349,1726086370499,1726086370941,0,greenCircle,greenCircle,True
1726086371447,1726086373059,1726086373624,0,greenCircle,greenCircle,True
1726086374133,1726086375143,1726086375658,0,greenCircle,greenCircle,True
1726086376159,1726086377731,1726086378135,0,redCircle,redCircle,True
1726086378641,1726086380104,1726086380523,0,redCircle,redCircle,True
1726086381034,1726086382570,1726086383025,0,redCircle,redCircle,True
1726086383533,1726086385011,1726086385597,0,greenCircle,greenCircle,True
1726086386101,1726086386989,1726086387481,0,redCircle,redCircle,True
1726086387984,1726086389497,1726086390060,0,greenCircle,greenCircle,True
1726086390574,1726086391877,1726086392451,0,redCircle,redCircle,True
1726086392954,1726086394466,1726086394993,0,redCircle,redCircle,True
1726086395494,1726086396992,1726086397507,0,redCircle,redCircle,True
1726086398017,1726086399152,1726086399669,0,greenCircle,greenCircle,True
1726086400174,1726086400963,1726086401417,0,greenCircle,greenCircle,True
1726086401929,1726086403468,1726086403982,0,redCircle,redCircle,True
1726086404494,1726086405258,1726086405809,0,greenCircle,greenCircle,True
1726086406312,1726086407492,1726086408019,0,greenCircle,greenCircle,True
1726086408530,1726086409885,1726086410314,0,greenCircle,greenCircle,True
1726086410825,1726086412252,1726086412669,0,greenCircle,greenCircle,True
1726086413180,1726086414192,1726086414571,0,redCircle,redCircle,True
1726086415083,1726086416547,1726086416952,0,redCircle,redCircle,True
1726086417456,1726086419163,1726086419580,0,greenCircle,greenCircle,True
1726086420084,1726086421644,1726086422183,0,greenCircle,greenCircle,True
1726086422694,1726086423510,1726086424125,0,redCircle,redCircle,True
1726086424626,1726086426231,1726086426857,0,greenCircle,greenCircle,True
1726086427362,1726086428655,1726086429265,0,greenCircle,redCircle,False
1726086429770,1726086431476,1726086432198,0,redCircle,redCircle,True
1726086432699,1726086433637,1726086434739,0,redCircle,redCircle,True
1726086435247,1726086436541,1726086437314,0,redCircle,redCircle,True
1726086437827,1726086438910,1726086439548,0,redCircle,redCircle,True
1726086440060,1726086441684,1726086442040,0,greenCircle,greenCircle,True
1726086442551,1726086443894,1726086444530,0,redCircle,redCircle,True
1726086445042,1726086446312,1726086446995,0,greenCircle,greenCircle,True
1726086447499,1726086449035,1726086449686,0,greenCircle,greenCircle,True
1726086450187,1726086451275,1726086451885,0,redCircle,redCircle,True
1726086452391,1726086453293,1726086453843,0,redCircle,redCircle,True
1726086454356,1726086455096,1726086455600,0,redCircle,redCircle,True
1726086456110,1726086457574,1726086457941,0,greenCircle,greenCircle,True
1726086458442,1726086460026,1726086460604,0,redCircle,redCircle,True
1726086461106,1726086462344,1726086462909,0,greenCircle,greenCircle,True
1726086463420,1726086464872,1726086465484,0,greenCircle,greenCircle,True
1726086465986,1726086467451,1726086468186,0,greenCircle,greenCircle,True
1726086468688,1726086469995,1726086470485,0,redCircle,redCircle,True
1726086470985,1726086471973,1726086472561,0,redCircle,redCircle,True
1726086473064,1726086474442,1726086474882,0,greenCircle,greenCircle,True
1726086475383,1726086477008,1726086477462,0,greenCircle,greenCircle,True
1726086477966,1726086478747,1726086479361,0,greenCircle,greenCircle,True
1726086479865,1726086481545,1726086482098,0,redCircle,redCircle,True
1726086482599,1726086484050,1726086484589,0,greenCircle,greenCircle,True
1726086485089,1726086486479,1726086487078,0,greenCircle,greenCircle,True
1726086487590,1726086488355,1726086488896,0,greenCircle,greenCircle,True
1726086489397,1726086490810,1726086491363,0,redCircle,redCircle,True
1726086491864,1726086493011,1726086493597,0,greenCircle,greenCircle,True
1726086494110,1726086494852,1726086495306,0,redCircle,redCircle,True
1726086495809,1726086497256,1726086497942,0,redCircle,redCircle,True
1726086498446,1726086499567,1726086500068,0,redCircle,redCircle,True
1726086500575,1726086502111,1726086502579,0,redCircle,redCircle,True
1726086503091,1726086504630,1726086505205,0,greenCircle,greenCircle,True
1726086505716,1726086506921,1726086507446,0,redCircle,redCircle,True
1726086507961,1726086509655,1726086510134,0,redCircle,redCircle,True
1726086510634,1726086511843,1726086512333,0,redCircle,redCircle,True
1726086512846,1726086514128,1726086514775,0,greenCircle,greenCircle,True
1726086515287,1726086516078,1726086516765,0,greenCircle,greenCircle,True
1726086517266,1726086518801,1726086519317,0,redCircle,redCircle,True
1726086519829,1726086521132,1726086521610,0,redCircle,redCircle,True
1726086522112,1726086523759,1726086524431,0,greenCircle,greenCircle,True
1726086524944,1726086526478,1726086527044,0,greenCircle,greenCircle,True
1726086527546,1726086528933,1726086529547,0,redCircle,redCircle,True
1726086530051,1726086530877,1726086531501,0,greenCircle,greenCircle,True
1726086532012,1726086533133,1726086533683,0,greenCircle,greenCircle,True
1726086534188,1726086535468,1726086535997,0,redCircle,redCircle,True
1726086536509,1726086537373,1726086537935,0,greenCircle,greenCircle,True
1726086538436,1726086540124,1726086540798,0,greenCircle,greenCircle,True
1726086541302,1726086542142,1726086542599,0,greenCircle,greenCircle,True
1726086543111,1726086543863,1726086544547,0,redCircle,redCircle,True
1726086545060,1726086546216,1726086547048,0,redCircle,redCircle,True
1726086547550,1726086548500,1726086549038,0,redCircle,redCircle,True
1726086549544,1726086550833,1726086551213,0,greenCircle,greenCircle,True
1726086551725,1726086553369,1726086553931,0,greenCircle,greenCircle,True
