CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719255565265,1719255566499,1719255566812,0,redCircle,redCircle,True
1719255567322,1719255568320,1719255568606,0,redCircle,redCircle,True
1719255569109,1719255570118,1719255570418,0,redCircle,redCircle,True
1719255570935,1719255571859,1719255572160,0,redCircle,redCircle,True
1719255572661,1719255573727,1719255574013,0,redCircle,redCircle,True
1719255574515,1719255576034,1719255576307,0,redCircle,redCircle,True
1719255576822,1719255578159,1719255578409,0,redCircle,redCircle,True
1719255578923,1719255579648,1719255580078,0,redCircle,redCircle,True
1719255580586,1719255581416,1719255581704,0,redCircle,redCircle,True
1719255582216,1719255582960,1719255583242,0,redCircle,redCircle,True
1719255583747,1719255584799,1719255585085,0,redCircle,redCircle,True
1719255585589,1719255586344,1719255586668,0,redCircle,redCircle,True
1719255587171,1719255587952,1719255588240,0,redCircle,redCircle,True
1719255588741,1719255590107,1719255590392,0,redCircle,redCircle,True
1719255590905,1719255592014,1719255592327,0,redCircle,redCircle,True
1719255592835,1719255594395,1719255594696,0,redCircle,redCircle,True
1719255595200,1719255596611,1719255596922,0,redCircle,redCircle,True
1719255597428,1719255598295,1719255598620,0,redCircle,redCircle,True
1719255599125,1719255600574,1719255600859,0,redCircle,redCircle,True
1719255601360,1719255602862,1719255603163,0,redCircle,redCircle,True
1719255603676,1719255605195,1719255605466,0,redCircle,redCircle,True
1719255605972,1719255606765,1719255607149,0,redCircle,redCircle,True
1719255607655,1719255608839,1719255609181,0,redCircle,redCircle,True
1719255609687,1719255611363,1719255611661,0,redCircle,redCircle,True
1719255612174,1719255612998,1719255613311,0,redCircle,redCircle,True
1719255613818,1719255615162,1719255615494,0,redCircle,redCircle,True
1719255616000,1719255617676,1719255617959,0,redCircle,redCircle,True
1719255618462,1719255620107,1719255620453,0,redCircle,redCircle,True
1719255620955,1719255622119,1719255622444,0,redCircle,redCircle,True
1719255622947,1719255624619,1719255624919,0,redCircle,redCircle,True
1719255625420,1719255626343,1719255626659,0,redCircle,redCircle,True
1719255627161,1719255627972,1719255628271,0,redCircle,redCircle,True
1719255628774,1719255629967,1719255630262,0,redCircle,redCircle,True
1719255630770,1719255631844,1719255632132,0,redCircle,redCircle,True
1719255632639,1719255633390,1719255633762,0,redCircle,redCircle,True
1719255634265,1719255635020,1719255635319,0,redCircle,redCircle,True
1719255635830,1719255636857,1719255637156,0,redCircle,redCircle,True
1719255637660,1719255638745,1719255639042,0,redCircle,redCircle,True
1719255639546,1719255641256,1719255641596,0,redCircle,redCircle,True
1719255642102,1719255643641,1719255643948,0,redCircle,redCircle,True
1719255644457,1719255645565,1719255645865,0,redCircle,redCircle,True
1719255646372,1719255647596,1719255647909,0,redCircle,redCircle,True
1719255648411,1719255650006,1719255650293,0,redCircle,redCircle,True
1719255650796,1719255652302,1719255652643,0,redCircle,redCircle,True
1719255653151,1719255654287,1719255654612,0,redCircle,redCircle,True
1719255655118,1719255656559,1719255656942,0,redCircle,redCircle,True
1719255657443,1719255658587,1719255658886,0,redCircle,redCircle,True
1719255659389,1719255660359,1719255660702,0,redCircle,redCircle,True
1719255661210,1719255662497,1719255662868,0,redCircle,redCircle,True
1719255663378,1719255664325,1719255664656,0,redCircle,redCircle,True
1719255665160,1719255666545,1719255666877,0,redCircle,redCircle,True
1719255667379,1719255668823,1719255669110,0,redCircle,redCircle,True
1719255669613,1719255670811,1719255671085,0,redCircle,redCircle,True
1719255671596,1719255672590,1719255672948,0,redCircle,redCircle,True
1719255673458,1719255674273,1719255674625,0,redCircle,redCircle,True
1719255675132,1719255676461,1719255676806,0,redCircle,redCircle,True
1719255677310,1719255678028,1719255678427,0,redCircle,redCircle,True
1719255678933,1719255679991,1719255680322,0,redCircle,redCircle,True
1719255680828,1719255682098,1719255682699,0,redCircle,redCircle,True
1719255683210,1719255684760,1719255685088,0,redCircle,redCircle,True
1719255685594,1719255687310,1719255687583,0,redCircle,redCircle,True
1719255688091,1719255688964,1719255689259,0,redCircle,redCircle,True
1719255689764,1719255691074,1719255691460,0,redCircle,redCircle,True
1719255691963,1719255692744,1719255693088,0,redCircle,redCircle,True
1719255693593,1719255694937,1719255695226,0,redCircle,redCircle,True
1719255695734,1719255696570,1719255696882,0,redCircle,redCircle,True
1719255697390,1719255698327,1719255698671,0,redCircle,redCircle,True
1719255699176,1719255700137,1719255700436,0,redCircle,redCircle,True
1719255700942,1719255702641,1719255702958,0,redCircle,redCircle,True
1719255703468,1719255704668,1719255704997,0,redCircle,redCircle,True
1719255705509,1719255707188,1719255707491,0,redCircle,redCircle,True
1719255707994,1719255708763,1719255709222,0,redCircle,redCircle,True
1719255709729,1719255710530,1719255710831,0,redCircle,redCircle,True
1719255711336,1719255712491,1719255712779,0,redCircle,redCircle,True
1719255713280,1719255714564,1719255714861,0,redCircle,redCircle,True
1719255715370,1719255716698,1719255716974,0,redCircle,redCircle,True
1719255717476,1719255719148,1719255719437,0,redCircle,redCircle,True
1719255719946,1719255721446,1719255721747,0,redCircle,redCircle,True
1719255722259,1719255723025,1719255723343,0,redCircle,redCircle,True
1719255723860,1719255724673,1719255725044,0,redCircle,redCircle,True
1719255725549,1719255726553,1719255727054,0,redCircle,redCircle,True
1719255727558,1719255729103,1719255729496,0,redCircle,redCircle,True
1719255729997,1719255731480,1719255731880,0,redCircle,redCircle,True
1719255732391,1719255733877,1719255734149,0,redCircle,redCircle,True
1719255734660,1719255736029,1719255736328,0,redCircle,redCircle,True
1719255736840,1719255738143,1719255738474,0,redCircle,redCircle,True
1719255738982,1719255740514,1719255740877,0,redCircle,redCircle,True
1719255741383,1719255742110,1719255742529,0,redCircle,redCircle,True
1719255743031,1719255744544,1719255744844,0,redCircle,redCircle,True
1719255745347,1719255746708,1719255747039,0,redCircle,redCircle,True
1719255747548,1719255748304,1719255748660,0,redCircle,redCircle,True
1719255749163,1719255750555,1719255750858,0,redCircle,redCircle,True
1719255751365,1719255752827,1719255753139,0,redCircle,redCircle,True
1719255753649,1719255754834,1719255755209,0,redCircle,redCircle,True
1719255755712,1719255756748,1719255757115,0,redCircle,redCircle,True
1719255757628,1719255759166,1719255759469,0,redCircle,redCircle,True
1719255759974,1719255760725,1719255761070,0,redCircle,redCircle,True
1719255761577,1719255762474,1719255762862,0,redCircle,redCircle,True
1719255763371,1719255764244,1719255764577,0,redCircle,redCircle,True
1719255765081,1719255766596,1719255766912,0,redCircle,redCircle,True
