cpuID,file,Trials
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,test-rtData-2024-07-01-16-04-44.csv,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,test-rtData-2024-07-01-16-05-12.csv,0
EMC173-0,fa322b5877932d17fff4dd88476e83449407cf73,Emma-rtData-2024-07-09-12-35-13.csv,100
EMC173-0,fa322b5877932d17fff4dd88476e83449407cf73,Emma-rtData-2024-07-09-12-39-57.csv,100
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Natalia-rtData-2024-09-11-13-25-14.csv,100
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Natalia-rtData-2024-09-11-13-30-32.csv,100
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,asdf-rtData-2024-09-11-13-37-20.csv,4
DESKTOP-BNVQNRU,b75b5ba0577eb3946714cfacf2ebc288c395e50f,,0
DESKTOP-BNVQNRU,b75b5ba0577eb3946714cfacf2ebc288c395e50f,-rtData-2025-02-03-14-35-23.csv,2
DESKTOP-BNVQNRU,b75b5ba0577eb3946714cfacf2ebc288c395e50f,Noor-rtData-2025-04-02-12-08-39.csv,0
DESKTOP-BNVQNRU,b75b5ba0577eb3946714cfacf2ebc288c395e50f,Noor-rtData-2025-04-02-12-15-55.csv,2
DESKTOP-BNVQNRU,b75b5ba0577eb3946714cfacf2ebc288c395e50f,Noor-rtData-2025-04-02-12-16-12.csv,50
