CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719256368991,1719256370158,1719256370581,0,redCircle,redCircle,True
1719256371091,1719256372714,1719256373026,0,redCircle,redCircle,True
1719256373536,1719256374369,1719256374682,0,redCircle,redCircle,True
1719256375191,1719256376458,1719256376737,0,redCircle,redCircle,True
1719256377247,1719256378258,1719256378571,0,redCircle,redCircle,True
1719256379081,1719256379802,1719256380093,0,redCircle,redCircle,True
1719256380603,1719256382270,1719256382625,0,redCircle,redCircle,True
1719256383136,1719256383847,1719256384170,0,redCircle,redCircle,True
1719256384681,1719256385592,1719256385860,0,redCircle,redCircle,True
1719256386369,1719256388014,1719256388281,0,redCircle,redCircle,True
1719256388792,1719256389725,1719256390070,0,redCircle,redCircle,True
1719256390581,1719256391992,1719256392315,0,redCircle,redCircle,True
1719256392825,1719256393880,1719256394282,0,redCircle,redCircle,True
1719256394791,1719256396336,1719256396626,0,redCircle,redCircle,True
1719256397136,1719256397892,1719256398225,0,redCircle,redCircle,True
1719256398736,1719256400292,1719256400571,0,redCircle,redCircle,True
1719256401081,1719256402358,1719256402625,0,redCircle,redCircle,True
1719256403136,1719256404824,1719256405148,0,redCircle,redCircle,True
1719256405658,1719256407147,1719256407425,0,redCircle,redCircle,True
1719256407936,1719256409037,1719256409303,0,redCircle,redCircle,True
1719256409814,1719256411236,1719256411471,0,redCircle,redCircle,True
1719256411981,1719256413647,1719256413993,0,redCircle,redCircle,True
1719256414503,1719256416169,1719256416470,0,redCircle,redCircle,True
1719256416981,1719256418025,1719256418425,0,redCircle,redCircle,True
1719256418936,1719256419726,1719256420104,0,redCircle,redCircle,True
1719256420614,1719256421937,1719256422248,0,redCircle,redCircle,True
1719256422758,1719256424170,1719256424448,0,redCircle,redCircle,True
1719256424959,1719256425903,1719256426204,0,redCircle,redCircle,True
1719256426714,1719256427991,1719256428259,0,redCircle,redCircle,True
1719256428769,1719256429770,1719256430059,0,redCircle,redCircle,True
1719256430569,1719256431347,1719256431648,0,redCircle,redCircle,True
1719256432158,1719256433081,1719256433415,0,redCircle,redCircle,True
1719256433926,1719256434758,1719256435048,0,redCircle,redCircle,True
1719256435558,1719256437069,1719256437393,0,redCircle,redCircle,True
1719256437903,1719256439514,1719256439826,0,redCircle,redCircle,True
1719256440337,1719256441903,1719256442216,0,redCircle,redCircle,True
1719256442724,1719256443537,1719256443826,0,redCircle,redCircle,True
1719256444336,1719256445758,1719256445826,0,redCircle,redCircle,True
1719256446337,1719256447737,1719256448038,0,redCircle,redCircle,True
1719256448548,1719256449603,1719256449893,0,redCircle,redCircle,True
1719256450403,1719256451237,1719256451627,0,redCircle,redCircle,True
1719256452137,1719256453403,1719256453682,0,redCircle,redCircle,True
1719256454192,1719256454970,1719256455282,0,redCircle,redCircle,True
1719256455792,1719256457015,1719256457338,0,redCircle,redCircle,True
1719256457848,1719256459248,1719256459526,0,redCircle,redCircle,True
1719256460037,1719256460915,1719256461216,0,redCircle,redCircle,True
1719256461726,1719256463370,1719256463660,0,redCircle,redCircle,True
1719256464170,1719256464881,1719256465193,0,redCircle,redCircle,True
1719256465704,1719256466860,1719256467349,0,redCircle,redCircle,True
1719256467859,1719256469526,1719256469849,0,redCircle,redCircle,True
1719256470359,1719256471804,1719256472171,0,redCircle,redCircle,True
1719256472682,1719256473981,1719256474282,0,redCircle,redCircle,True
1719256474792,1719256476059,1719256476349,0,redCircle,redCircle,True
1719256476858,1719256478070,1719256478371,0,redCircle,redCircle,True
1719256478881,1719256479959,1719256480282,0,redCircle,redCircle,True
1719256480792,1719256482092,1719256482449,0,redCircle,redCircle,True
1719256482959,1719256484592,1719256484972,0,redCircle,redCircle,True
1719256485481,1719256486871,1719256487260,0,redCircle,redCircle,True
1719256487770,1719256489282,1719256489572,0,redCircle,redCircle,True
1719256490082,1719256491758,1719256492037,0,redCircle,redCircle,True
1719256492547,1719256493681,1719256494316,0,redCircle,redCircle,True
1719256494826,1719256495859,1719256496183,0,redCircle,redCircle,True
1719256496693,1719256497593,1719256497927,0,redCircle,redCircle,True
1719256498437,1719256499359,1719256499683,0,redCircle,redCircle,True
1719256500192,1719256501071,1719256501372,0,redCircle,redCircle,True
1719256501881,1719256502882,1719256503183,0,redCircle,redCircle,True
1719256503693,1719256504460,1719256504750,0,redCircle,redCircle,True
1719256505259,1719256506482,1719256506793,0,redCircle,redCircle,True
1719256507304,1719256508537,1719256508838,0,redCircle,redCircle,True
1719256509348,1719256510081,1719256510372,0,redCircle,redCircle,True
1719256510882,1719256512348,1719256512649,0,redCircle,redCircle,True
1719256513160,1719256513959,1719256514272,0,redCircle,redCircle,True
1719256514782,1719256516216,1719256516505,0,redCircle,redCircle,True
1719256517016,1719256518693,1719256519172,0,redCircle,redCircle,True
1719256519682,1719256520926,1719256521195,0,redCircle,redCircle,True
1719256521704,1719256522548,1719256522950,0,redCircle,redCircle,True
1719256523460,1719256524926,1719256525227,0,redCircle,redCircle,True
1719256525737,1719256527349,1719256527682,0,redCircle,redCircle,True
1719256528193,1719256529449,1719256529828,0,redCircle,redCircle,True
1719256530337,1719256531349,1719256531683,0,redCircle,redCircle,True
1719256532193,1719256533282,1719256533627,0,redCircle,redCircle,True
1719256534138,1719256535537,1719256535872,0,redCircle,redCircle,True
