CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719352337265,1719352338710,1719352338988,0,redCircle,redCircle,True
1719352339498,1719352340620,1719352340900,0,redCircle,redCircle,True
1719352341407,1719352342466,1719352342767,0,redCircle,redCircle,True
1719352343275,1719352344543,1719352344811,0,redCircle,redCircle,True
1719352345319,1719352346210,1719352346501,0,redCircle,redCircle,True
1719352347010,1719352348554,1719352348821,0,redCircle,redCircle,True
1719352349332,1719352350221,1719352350567,0,redCircle,redCircle,True
1719352351075,1719352352532,1719352352769,0,redCircle,redCircle,True
1719352353277,1719352354343,1719352354622,0,redCircle,redCircle,True
1719352355829,1719352357332,1719352357600,0,redCircle,redCircle,True
1719352358109,1719352359300,1719352359544,0,redCircle,redCircle,True
1719352360053,1719352361043,1719352361301,0,redCircle,redCircle,True
1719352361810,1719352362999,1719352363221,0,redCircle,redCircle,True
1719352363732,1719352364953,1719352365200,0,redCircle,redCircle,True
1719352365709,1719352367043,1719352367288,0,redCircle,redCircle,True
1719352367788,1719352368633,1719352368900,0,redCircle,redCircle,True
1719352369409,1719352371390,1719352371812,0,redCircle,redCircle,True
1719352372323,1719352374461,1719352374884,0,redCircle,redCircle,True
1719352375391,1719352376203,1719352376538,0,redCircle,redCircle,True
1719352377048,1719352378582,1719352378828,0,redCircle,redCircle,True
1719352379339,1719352380328,1719352380585,0,redCircle,redCircle,True
1719352381093,1719352382095,1719352382374,0,redCircle,redCircle,True
1719352382884,1719352383963,1719352384186,0,redCircle,redCircle,True
1719352384696,1719352385674,1719352385919,0,redCircle,redCircle,True
1719352386430,1719352387152,1719352387443,0,redCircle,redCircle,True
1719352387953,1719352388700,1719352388944,0,redCircle,redCircle,True
1719352389454,1719352390253,1719352390510,0,redCircle,redCircle,True
1719352391021,1719352391876,1719352392145,0,redCircle,redCircle,True
1719352392654,1719352394011,1719352394244,0,redCircle,redCircle,True
1719352394754,1719352395598,1719352395878,0,redCircle,redCircle,True
1719352396388,1719352397310,1719352397567,0,redCircle,redCircle,True
1719352398076,1719352398787,1719352399044,0,redCircle,redCircle,True
1719352399554,1719352400876,1719352401168,0,redCircle,redCircle,True
1719352401676,1719352402433,1719352402701,0,redCircle,redCircle,True
1719352403210,1719352403976,1719352404244,0,redCircle,redCircle,True
1719352404754,1719352406466,1719352406711,0,redCircle,redCircle,True
1719352407221,1719352408367,1719352408635,0,redCircle,redCircle,True
1719352409144,1719352410432,1719352410689,0,redCircle,redCircle,True
1719352411202,1719352412320,1719352412567,0,redCircle,redCircle,True
1719352413077,1719352414410,1719352414645,0,redCircle,redCircle,True
1719352415154,1719352416710,1719352416944,0,redCircle,redCircle,True
1719352417454,1719352418866,1719352419101,0,redCircle,redCircle,True
1719352419610,1719352421232,1719352421478,0,redCircle,redCircle,True
1719352421988,1719352423354,1719352423622,0,redCircle,redCircle,True
1719352424132,1719352425111,1719352425422,0,redCircle,redCircle,True
