CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719256085718,1719256087297,1719256087614,0,redCircle,redCircle,True
1719256088122,1719256089656,1719256089972,0,redCircle,redCircle,True
1719256090484,1719256091929,1719256092229,0,redCircle,redCircle,True
1719256092738,1719256093589,1719256093962,0,redCircle,redCircle,True
1719256094470,1719256096086,1719256096371,0,redCircle,redCircle,True
1719256096882,1719256097971,1719256098303,0,redCircle,redCircle,True
1719256098815,1719256100389,1719256100708,0,redCircle,redCircle,True
1719256101213,1719256102256,1719256102629,0,redCircle,redCircle,True
1719256103132,1719256104004,1719256104391,0,redCircle,redCircle,True
1719256104901,1719256106417,1719256106687,0,redCircle,redCircle,True
1719256107202,1719256108131,1719256108436,0,redCircle,redCircle,True
1719256108951,1719256110206,1719256110524,0,redCircle,redCircle,True
1719256111033,1719256112538,1719256112881,0,redCircle,redCircle,True
1719256113386,1719256114389,1719256114675,0,redCircle,redCircle,True
1719256115189,1719256116363,1719256116666,0,redCircle,redCircle,True
1719256117172,1719256118059,1719256118391,0,redCircle,redCircle,True
1719256118899,1719256120262,1719256120575,0,redCircle,redCircle,True
1719256121083,1719256122154,1719256122529,0,redCircle,redCircle,True
1719256123038,1719256123855,1719256124186,0,redCircle,redCircle,True
1719256124691,1719256126206,1719256126484,0,redCircle,redCircle,True
1719256126989,1719256128475,1719256128782,0,redCircle,redCircle,True
1719256129291,1719256130441,1719256130726,0,redCircle,redCircle,True
1719256131241,1719256132142,1719256132448,0,redCircle,redCircle,True
1719256132953,1719256134317,1719256134604,0,redCircle,redCircle,True
1719256135106,1719256136383,1719256136640,0,redCircle,redCircle,True
1719256137156,1719256138421,1719256138724,0,redCircle,redCircle,True
1719256139233,1719256140833,1719256141081,0,redCircle,redCircle,True
1719256141590,1719256143190,1719256143483,0,redCircle,redCircle,True
1719256143985,1719256144845,1719256145192,0,redCircle,redCircle,True
1719256145700,1719256146729,1719256147016,0,redCircle,redCircle,True
1719256147518,1719256148840,1719256149115,0,redCircle,redCircle,True
1719256149619,1719256151039,1719256151366,0,redCircle,redCircle,True
1719256151877,1719256152756,1719256153110,0,redCircle,redCircle,True
1719256153619,1719256155155,1719256155963,0,redCircle,redCircle,True
1719256156471,1719256157842,1719256158103,0,redCircle,redCircle,True
1719256158608,1719256159373,1719256159717,0,redCircle,redCircle,True
1719256160222,1719256161151,1719256161469,0,redCircle,redCircle,True
1719256161971,1719256163675,1719256163985,0,redCircle,redCircle,True
1719256164491,1719256166097,1719256166383,0,redCircle,redCircle,True
1719256166887,1719256167850,1719256168153,0,redCircle,redCircle,True
1719256168658,1719256169704,1719256170005,0,redCircle,redCircle,True
1719256170508,1719256171299,1719256171643,0,redCircle,redCircle,True
1719256172153,1719256173213,1719256173501,0,redCircle,redCircle,True
1719256174010,1719256175324,1719256175686,0,redCircle,redCircle,True
1719256176193,1719256177788,1719256178103,0,redCircle,redCircle,True
1719256178610,1719256180091,1719256180360,0,redCircle,redCircle,True
1719256180872,1719256181644,1719256182046,0,redCircle,redCircle,True
1719256182555,1719256183984,1719256184286,0,redCircle,redCircle,True
1719256184790,1719256185900,1719256186218,0,redCircle,redCircle,True
1719256186723,1719256188200,1719256188460,0,redCircle,redCircle,True
1719256188974,1719256190288,1719256190560,0,redCircle,redCircle,True
1719256191072,1719256192359,1719256192690,0,redCircle,redCircle,True
1719256193196,1719256193939,1719256194272,0,redCircle,redCircle,True
1719256194776,1719256195944,1719256196236,0,redCircle,redCircle,True
1719256196743,1719256198245,1719256198647,0,redCircle,redCircle,True
1719256199154,1719256200634,1719256200908,0,redCircle,redCircle,True
1719256201426,1719256202908,1719256203212,0,redCircle,redCircle,True
1719256203722,1719256205053,1719256205336,0,redCircle,redCircle,True
1719256205839,1719256207502,1719256207776,0,redCircle,redCircle,True
1719256208289,1719256209086,1719256209458,0,redCircle,redCircle,True
1719256209968,1719256211193,1719256211555,0,redCircle,redCircle,True
1719256212061,1719256213237,1719256213538,0,redCircle,redCircle,True
