CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719523999170,1719524000690,1719524001064,0,greenCircle,redCircle,False
1719524001580,1719524003103,1719524003798,0,greenCircle,greenCircle,True
1719524004302,1719524005386,1719524005873,0,greenCircle,greenCircle,True
1719524006380,1719524007294,1719524008013,0,greenCircle,greenCircle,True
1719524008517,1719524009558,1719524010064,0,greenCircle,greenCircle,True
1719524010566,1719524011595,1719524012043,0,greenCircle,greenCircle,True
1719524012545,1719524014015,1719524014432,0,redCircle,redCircle,True
1719524014943,1719524016288,1719524016651,0,greenCircle,greenCircle,True
1719524017162,1719524018077,1719524018832,0,greenCircle,greenCircle,True
1719524019343,1719524020815,1719524021345,0,greenCircle,greenCircle,True
1719524021854,1719524022740,1719524023198,0,greenCircle,greenCircle,True
1719524023711,1719524025166,1719524025627,0,greenCircle,greenCircle,True
1719524026135,1719524026900,1719524027332,0,greenCircle,greenCircle,True
1719524027847,1719524028848,1719524029395,0,redCircle,redCircle,True
1719524029907,1719524031336,1719524031920,0,greenCircle,greenCircle,True
1719524032435,1719524033282,1719524034033,0,redCircle,redCircle,True
1719524034542,1719524036253,1719524036825,0,greenCircle,greenCircle,True
1719524037335,1719524038852,1719524039498,0,greenCircle,greenCircle,True
1719524040003,1719524040827,1719524041397,0,redCircle,redCircle,True
1719524041903,1719524043377,1719524043933,0,redCircle,redCircle,True
1719524044443,1719524045215,1719524045717,0,greenCircle,greenCircle,True
1719524046225,1719524047901,1719524048588,0,redCircle,redCircle,True
1719524049099,1719524050198,1719524050716,0,greenCircle,greenCircle,True
1719524051221,1719524052044,1719524052569,0,redCircle,redCircle,True
1719524053080,1719524053982,1719524054617,0,redCircle,redCircle,True
1719524055127,1719524056698,1719524057199,0,greenCircle,greenCircle,True
1719524057714,1719524059152,1719524059654,0,redCircle,redCircle,True
1719524060166,1719524061748,1719524062204,0,greenCircle,greenCircle,True
1719524062712,1719524063431,1719524064168,0,greenCircle,greenCircle,True
1719524064679,1719524065766,1719524066312,0,greenCircle,greenCircle,True
1719524066819,1719524068198,1719524068766,0,greenCircle,greenCircle,True
1719524069278,1719524070209,1719524070762,0,redCircle,redCircle,True
1719524071273,1719524072513,1719524072930,0,redCircle,redCircle,True
1719524073436,1719524074382,1719524074951,0,greenCircle,greenCircle,True
1719524075461,1719524076794,1719524077616,0,greenCircle,greenCircle,True
1719524078123,1719524079642,1719524080252,0,redCircle,redCircle,True
1719524080762,1719524081796,1719524082381,0,greenCircle,greenCircle,True
1719524082890,1719524084325,1719524085004,0,redCircle,redCircle,True
1719524085515,1719524086308,1719524086868,0,greenCircle,greenCircle,True
1719524087378,1719524088946,1719524089767,0,greenCircle,greenCircle,True
1719524090278,1719524091124,1719524091867,0,greenCircle,greenCircle,True
1719524092380,1719524093546,1719524094169,0,greenCircle,greenCircle,True
1719524094682,1719524096292,1719524096877,0,greenCircle,greenCircle,True
1719524097386,1719524098699,1719524099318,0,redCircle,redCircle,True
1719524099829,1719524100966,1719524101428,0,redCircle,redCircle,True
1719524101936,1719524102852,1719524103316,0,redCircle,redCircle,True
1719524103820,1719524104988,1719524105570,0,greenCircle,greenCircle,True
1719524106083,1719524106999,1719524107524,0,greenCircle,greenCircle,True
1719524108036,1719524109395,1719524109981,0,redCircle,redCircle,True
1719524110483,1719524111781,1719524112253,0,redCircle,redCircle,True
1719524112767,1719524113934,1719524114337,0,redCircle,redCircle,True
1719524114849,1719524115835,1719524116305,0,greenCircle,greenCircle,True
1719524116817,1719524118216,1719524118633,0,greenCircle,greenCircle,True
1719524119135,1719524120005,1719524120632,0,redCircle,redCircle,True
1719524121136,1719524122109,1719524122634,0,greenCircle,greenCircle,True
1719524123149,1719524123960,1719524124570,0,greenCircle,greenCircle,True
1719524125078,1719524126013,1719524126568,0,greenCircle,greenCircle,True
1719524127080,1719524128746,1719524129343,0,greenCircle,greenCircle,True
1719524129853,1719524131480,1719524131938,0,greenCircle,greenCircle,True
1719524132438,1719524133716,1719524134185,0,greenCircle,greenCircle,True
1719524134698,1719524136117,1719524136517,0,greenCircle,greenCircle,True
1719524137023,1719524137956,1719524138418,0,greenCircle,greenCircle,True
1719524138930,1719524140035,1719524140651,0,greenCircle,greenCircle,True
