CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719435167541,1719435168647,1719435169062,0,redCircle,redCircle,True
1719435169565,1719435170774,1719435171228,0,greenCircle,greenCircle,True
1719435171732,1719435173202,1719435173602,0,redCircle,redCircle,True
1719435174108,1719435175629,1719435176030,0,redCircle,redCircle,True
1719435176541,1719435177677,1719435178132,0,greenCircle,greenCircle,True
1719435178643,1719435179520,1719435180050,0,redCircle,redCircle,True
1719435180565,1719435182214,1719435182598,0,greenCircle,greenCircle,True
1719435183106,1719435184746,1719435185089,0,greenCircle,redCircle,False
1719435185597,1719435186469,1719435186928,0,redCircle,redCircle,True
1719435187432,1719435188997,1719435189355,0,redCircle,redCircle,True
1719435189862,1719435191384,1719435191797,0,greenCircle,greenCircle,True
1719435192301,1719435193235,1719435193609,0,greenCircle,greenCircle,True
1719435194112,1719435195628,1719435196082,0,redCircle,redCircle,True
1719435196589,1719435197468,1719435197885,0,greenCircle,greenCircle,True
1719435198387,1719435199798,1719435200172,0,greenCircle,greenCircle,True
1719435200682,1719435201594,1719435201995,0,greenCircle,greenCircle,True
1719435202500,1719435204150,1719435204577,0,greenCircle,greenCircle,True
1719435205078,1719435206588,1719435207048,0,redCircle,redCircle,True
1719435207553,1719435209101,1719435209554,0,greenCircle,greenCircle,True
1719435210061,1719435211429,1719435211869,0,greenCircle,greenCircle,True
1719435212373,1719435214027,1719435214411,0,redCircle,redCircle,True
1719435214913,1719435216299,1719435216730,0,greenCircle,greenCircle,True
1719435217233,1719435218910,1719435219236,0,redCircle,redCircle,True
1719435219743,1719435220983,1719435221411,0,greenCircle,greenCircle,True
1719435221917,1719435223364,1719435223820,0,greenCircle,greenCircle,True
1719435224329,1719435225854,1719435226342,0,greenCircle,greenCircle,True
1719435226845,1719435227817,1719435228218,0,greenCircle,greenCircle,True
1719435228723,1719435229918,1719435230292,0,greenCircle,greenCircle,True
1719435230798,1719435231883,1719435232226,0,greenCircle,greenCircle,True
1719435232729,1719435234313,1719435234698,0,greenCircle,greenCircle,True
1719435235200,1719435236675,1719435237104,0,redCircle,redCircle,True
1719435237607,1719435238946,1719435239353,0,greenCircle,greenCircle,True
1719435239865,1719435240601,1719435241100,0,greenCircle,greenCircle,True
1719435241607,1719435242749,1719435243168,0,greenCircle,greenCircle,True
1719435243669,1719435244841,1719435245256,0,greenCircle,greenCircle,True
1719435245762,1719435247014,1719435247436,0,redCircle,redCircle,True
1719435247946,1719435248745,1719435249385,0,redCircle,redCircle,True
1719435249898,1719435251352,1719435251753,0,redCircle,redCircle,True
1719435252258,1719435253266,1719435253613,0,redCircle,redCircle,True
1719435254115,1719435255114,1719435255467,0,redCircle,redCircle,True
1719435255974,1719435257423,1719435257813,0,greenCircle,greenCircle,True
1719435258318,1719435259117,1719435259531,0,greenCircle,greenCircle,True
1719435260033,1719435260831,1719435261344,0,redCircle,redCircle,True
1719435261845,1719435263368,1719435263796,0,greenCircle,greenCircle,True
1719435264309,1719435265163,1719435265592,0,redCircle,redCircle,True
1719435266107,1719435267716,1719435268234,0,greenCircle,greenCircle,True
1719435268749,1719435269684,1719435270257,0,greenCircle,greenCircle,True
1719435270763,1719435271684,1719435272102,0,greenCircle,greenCircle,True
1719435272613,1719435273542,1719435273971,0,redCircle,redCircle,True
1719435274485,1719435275598,1719435276021,0,greenCircle,greenCircle,True
1719435276526,1719435278017,1719435278401,0,greenCircle,greenCircle,True
1719435278908,1719435280462,1719435280889,0,greenCircle,greenCircle,True
1719435281392,1719435282289,1719435282788,0,redCircle,redCircle,True
1719435283303,1719435284133,1719435284553,0,greenCircle,greenCircle,True
1719435285067,1719435286717,1719435287159,0,greenCircle,greenCircle,True
1719435287664,1719435288407,1719435288865,0,redCircle,redCircle,True
1719435289369,1719435290654,1719435291098,0,greenCircle,greenCircle,True
1719435291600,1719435292812,1719435293183,0,redCircle,redCircle,True
1719435293689,1719435294461,1719435294932,0,redCircle,redCircle,True
1719435295437,1719435296621,1719435297038,0,redCircle,redCircle,True
1719435297548,1719435298661,1719435299094,0,greenCircle,greenCircle,True
1719435299601,1719435301072,1719435301575,0,greenCircle,greenCircle,True
1719435302080,1719435303292,1719435303751,0,redCircle,redCircle,True
1719435304252,1719435305654,1719435306138,0,redCircle,redCircle,True
1719435306645,1719435308237,1719435308695,0,greenCircle,greenCircle,True
1719435309200,1719435310883,1719435311342,0,redCircle,redCircle,True
1719435311845,1719435312661,1719435313221,0,greenCircle,greenCircle,True
1719435313734,1719435314686,1719435315171,0,redCircle,redCircle,True
1719435315673,1719435316786,1719435317258,0,greenCircle,greenCircle,True
1719435317768,1719435318693,1719435319165,0,greenCircle,greenCircle,True
1719435319668,1719435321169,1719435321635,0,redCircle,redCircle,True
1719435322138,1719435323753,1719435324233,0,greenCircle,greenCircle,True
1719435324734,1719435325678,1719435326166,0,greenCircle,greenCircle,True
1719435326679,1719435327569,1719435327970,0,redCircle,redCircle,True
1719435328484,1719435329599,1719435329932,0,redCircle,redCircle,True
1719435330433,1719435331852,1719435332254,0,greenCircle,greenCircle,True
1719435332755,1719435333585,1719435334031,0,greenCircle,greenCircle,True
1719435334532,1719435336070,1719435336484,0,redCircle,redCircle,True
1719435336989,1719435338014,1719435338544,0,greenCircle,greenCircle,True
1719435339046,1719435340566,1719435341038,0,greenCircle,greenCircle,True
1719435341550,1719435342635,1719435343080,0,greenCircle,greenCircle,True
1719435343586,1719435345287,1719435345816,0,greenCircle,greenCircle,True
1719435346318,1719435347202,1719435347579,0,greenCircle,greenCircle,True
1719435348083,1719435349436,1719435349751,0,redCircle,redCircle,True
1719435350253,1719435351254,1719435351755,0,redCircle,redCircle,True
1719435352262,1719435353094,1719435353562,0,greenCircle,greenCircle,True
1719435354065,1719435355038,1719435355393,0,greenCircle,greenCircle,True
