CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1720554025863,1720554027530,1720554027952,0,redCircle,redCircle,True
1720554028462,1720554029508,1720554029909,0,greenCircle,greenCircle,True
1720554030420,1720554031475,1720554031787,0,redCircle,redCircle,True
1720554032296,1720554033586,1720554033876,0,greenCircle,greenCircle,True
1720554034386,1720554035707,1720554036163,0,redCircle,redCircle,True
1720554036674,1720554037630,1720554038053,0,redCircle,redCircle,True
1720554038563,1720554040253,1720554040598,0,redCircle,greenCircle,False
1720554041109,1720554042775,1720554043230,0,redCircle,redCircle,True
1720554043740,1720554044941,1720554045364,0,redCircle,redCircle,True
1720554045875,1720554047064,1720554047509,0,greenCircle,greenCircle,True
1720554048020,1720554049163,1720554049775,0,redCircle,redCircle,True
1720554050286,1720554051130,1720554051543,0,redCircle,redCircle,True
1720554052052,1720554052841,1720554053198,0,greenCircle,greenCircle,True
1720554053708,1720554054852,1720554055331,0,greenCircle,greenCircle,True
1720554055842,1720554056586,1720554057031,0,greenCircle,greenCircle,True
1720554057542,1720554058630,1720554059020,0,redCircle,redCircle,True
1720554059530,1720554060608,1720554061064,0,greenCircle,greenCircle,True
1720554061575,1720554062897,1720554063421,0,greenCircle,greenCircle,True
1720554063930,1720554065364,1720554065720,0,redCircle,redCircle,True
1720554066230,1720554067542,1720554067910,0,greenCircle,greenCircle,True
1720554068419,1720554069653,1720554070198,0,redCircle,redCircle,True
1720554070710,1720554071642,1720554072076,0,redCircle,redCircle,True
1720554072586,1720554074264,1720554074677,0,redCircle,redCircle,True
1720554075186,1720554076220,1720554076586,0,redCircle,redCircle,True
1720554077097,1720554078453,1720554078798,0,redCircle,redCircle,True
1720554079309,1720554080641,1720554081042,0,greenCircle,greenCircle,True
1720554081553,1720554082852,1720554083165,0,redCircle,redCircle,True
1720554083675,1720554084542,1720554084852,0,redCircle,redCircle,True
1720554085365,1720554087020,1720554087365,0,redCircle,redCircle,True
1720554087875,1720554088631,1720554089065,0,greenCircle,greenCircle,True
1720554089575,1720554090531,1720554090944,0,redCircle,redCircle,True
1720554091453,1720554092620,1720554093053,0,greenCircle,redCircle,False
1720554093553,1720554094609,1720554095054,0,redCircle,redCircle,True
1720554095564,1720554096320,1720554096854,0,greenCircle,greenCircle,True
1720554097365,1720554098653,1720554099065,0,greenCircle,greenCircle,True
1720554099575,1720554100653,1720554101065,0,redCircle,redCircle,True
1720554101575,1720554102653,1720554103055,0,redCircle,redCircle,True
1720554103564,1720554104442,1720554104944,0,redCircle,redCircle,True
1720554105454,1720554106397,1720554106764,0,greenCircle,greenCircle,True
1720554107276,1720554108253,1720554108710,0,greenCircle,greenCircle,True
1720554109220,1720554110430,1720554110843,0,redCircle,redCircle,True
1720554111353,1720554112976,1720554113399,0,redCircle,redCircle,True
1720554113909,1720554114786,1720554115165,0,greenCircle,greenCircle,True
