CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719525065293,1719525066086,1719525066579,0,greenCircle,greenCircle,True
1719525067089,1719525068722,1719525069107,0,redCircle,redCircle,True
1719525069619,1719525070459,1719525070974,0,greenCircle,greenCircle,True
1719525071488,1719525072910,1719525073424,0,greenCircle,greenCircle,True
1719525073929,1719525075036,1719525075479,0,greenCircle,greenCircle,True
1719525075989,1719525076943,1719525077276,0,greenCircle,greenCircle,True
1719525077778,1719525079237,1719525079692,0,greenCircle,greenCircle,True
1719525080197,1719525081178,1719525081587,0,redCircle,redCircle,True
1719525082092,1719525082870,1719525083396,0,greenCircle,greenCircle,True
1719525083904,1719525084858,1719525085283,0,greenCircle,greenCircle,True
1719525085796,1719525086691,1719525087077,0,greenCircle,greenCircle,True
1719525087589,1719525088992,1719525089356,0,greenCircle,greenCircle,True
1719525089859,1719525091140,1719525091471,0,redCircle,redCircle,True
1719525091977,1719525093092,1719525093413,0,redCircle,redCircle,True
1719525093924,1719525095577,1719525095926,0,redCircle,redCircle,True
1719525096433,1719525097859,1719525098163,0,redCircle,redCircle,True
1719525098672,1719525099840,1719525100185,0,redCircle,redCircle,True
1719525100691,1719525102184,1719525102655,0,greenCircle,greenCircle,True
1719525103161,1719525104408,1719525104825,0,greenCircle,greenCircle,True
1719525105334,1719525106343,1719525106775,0,greenCircle,greenCircle,True
1719525107287,1719525108895,1719525109269,0,redCircle,redCircle,True
1719525109777,1719525111461,1719525111767,0,redCircle,redCircle,True
1719525112273,1719525113059,1719525113505,0,greenCircle,greenCircle,True
1719525114010,1719525115377,1719525115692,0,greenCircle,greenCircle,True
1719525116198,1719525117222,1719525117609,0,redCircle,redCircle,True
1719525118115,1719525119014,1719525119431,0,redCircle,redCircle,True
1719525119942,1719525121304,1719525121692,0,greenCircle,greenCircle,True
1719525122197,1719525123546,1719525123924,0,redCircle,redCircle,True
1719525124438,1719525125404,1719525125875,0,redCircle,redCircle,True
1719525126390,1719525128075,1719525128405,0,redCircle,redCircle,True
1719525128911,1719525130059,1719525130407,0,redCircle,redCircle,True
1719525130913,1719525131691,1719525132106,0,redCircle,redCircle,True
1719525132615,1719525134083,1719525134404,0,redCircle,greenCircle,False
1719525134909,1719525136324,1719525136806,0,redCircle,redCircle,True
1719525137314,1719525138638,1719525139057,0,greenCircle,greenCircle,True
1719525139560,1719525140807,1719525141293,0,redCircle,redCircle,True
1719525141800,1719525142738,1719525143263,0,greenCircle,greenCircle,True
1719525143770,1719525145395,1719525145689,0,redCircle,redCircle,True
1719525146193,1719525146966,1719525147436,0,redCircle,redCircle,True
1719525147942,1719525148910,1719525149199,0,redCircle,redCircle,True
1719525149705,1719525150693,1719525151006,0,redCircle,redCircle,True
1719525151514,1719525152759,1719525153169,0,greenCircle,greenCircle,True
1719525153676,1719525155343,1719525155773,0,redCircle,redCircle,True
1719525156280,1719525157026,1719525157558,0,greenCircle,greenCircle,True
1719525158060,1719525159173,1719525159614,0,redCircle,redCircle,True
1719525160125,1719525161356,1719525161716,0,greenCircle,greenCircle,True
1719525162227,1719525163924,1719525164363,0,greenCircle,greenCircle,True
1719525164875,1719525166221,1719525166579,0,greenCircle,greenCircle,True
1719525167093,1719525168332,1719525168745,0,greenCircle,greenCircle,True
1719525169258,1719525170624,1719525171094,0,greenCircle,greenCircle,True
1719525171598,1719525172555,1719525173096,0,redCircle,redCircle,True
1719525173602,1719525174692,1719525175008,0,redCircle,redCircle,True
1719525175515,1719525176474,1719525176777,0,greenCircle,greenCircle,True
1719525177278,1719525178727,1719525179113,0,greenCircle,greenCircle,True
1719525179626,1719525181221,1719525181638,0,redCircle,redCircle,True
1719525182146,1719525182992,1719525183407,0,greenCircle,greenCircle,True
1719525183910,1719525185397,1719525185745,0,greenCircle,greenCircle,True
1719525186258,1719525187083,1719525187528,0,redCircle,redCircle,True
1719525188041,1719525188950,1719525189425,0,greenCircle,greenCircle,True
1719525189933,1719525191360,1719525191654,0,redCircle,redCircle,True
1719525192164,1719525193676,1719525194204,0,greenCircle,greenCircle,True
1719525194715,1719525196047,1719525196409,0,redCircle,redCircle,True
1719525196915,1719525197719,1719525198163,0,greenCircle,greenCircle,True
1719525198674,1719525199561,1719525199995,0,greenCircle,greenCircle,True
1719525200499,1719525201608,1719525202109,0,greenCircle,greenCircle,True
1719525202618,1719525204022,1719525204410,0,redCircle,redCircle,True
1719525204916,1719525206526,1719525206927,0,greenCircle,greenCircle,True
1719525207438,1719525209061,1719525209492,0,greenCircle,greenCircle,True
1719525209997,1719525211717,1719525212146,0,redCircle,redCircle,True
1719525212662,1719525213658,1719525214028,0,redCircle,redCircle,True
1719525214537,1719525215445,1719525215808,0,greenCircle,greenCircle,True
1719525216321,1719525217927,1719525218241,0,redCircle,redCircle,True
1719525218745,1719525219479,1719525219896,0,redCircle,redCircle,True
1719525220404,1719525221124,1719525221626,0,redCircle,redCircle,True
1719525222128,1719525223031,1719525223364,0,redCircle,redCircle,True
1719525223873,1719525224863,1719525225173,0,redCircle,redCircle,True
1719525225674,1719525227222,1719525227724,0,redCircle,redCircle,True
1719525228234,1719525229745,1719525230175,0,greenCircle,greenCircle,True
1719525230685,1719525232098,1719525232530,0,greenCircle,greenCircle,True
1719525233041,1719525234487,1719525234849,0,redCircle,redCircle,True
1719525235360,1719525236756,1719525237212,0,greenCircle,greenCircle,True
1719525237718,1719525239161,1719525239564,0,greenCircle,greenCircle,True
1719525240073,1719525241664,1719525242109,0,greenCircle,greenCircle,True
1719525242618,1719525244229,1719525244521,0,redCircle,redCircle,True
1719525245032,1719525245893,1719525246296,0,redCircle,redCircle,True
1719525246798,1719525248018,1719525248352,0,redCircle,redCircle,True
1719525248864,1719525249830,1719525250148,0,redCircle,redCircle,True
1719525250661,1719525251590,1719525251910,0,redCircle,redCircle,True
1719525252429,1719525254048,1719525254453,0,greenCircle,redCircle,False
1719525254955,1719525256143,1719525256461,0,greenCircle,greenCircle,True
1719525256970,1719525258523,1719525258831,0,redCircle,redCircle,True
1719525259342,1719525260811,1719525261197,0,greenCircle,greenCircle,True
1719525261713,1719525263077,1719525263370,0,redCircle,redCircle,True
1719525263879,1719525265094,1719525265466,0,greenCircle,greenCircle,True
1719525265973,1719525267403,1719525267724,0,redCircle,redCircle,True
1719525268233,1719525269362,1719525269798,0,greenCircle,greenCircle,True
1719525270308,1719525271254,1719525271629,0,greenCircle,greenCircle,True
1719525272141,1719525272990,1719525273397,0,redCircle,redCircle,True
1719525273907,1719525274877,1719525275255,0,greenCircle,greenCircle,True
1719525275767,1719525276663,1719525277066,0,redCircle,redCircle,True
