CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719515594066,1719515594947,1719515595389,0,greenCircle,greenCircle,True
1719515595891,1719515596692,1719515597024,0,redCircle,redCircle,True
1719515597535,1719515598964,1719515599281,0,redCircle,redCircle,True
1719515599792,1719515600961,1719515601361,0,greenCircle,greenCircle,True
1719515601865,1719515603080,1719515603440,0,redCircle,redCircle,True
1719515603944,1719515605376,1719515605678,0,greenCircle,greenCircle,True
1719515606180,1719515607795,1719515608247,0,greenCircle,greenCircle,True
1719515608759,1719515609805,1719515610207,0,redCircle,redCircle,True
1719515610711,1719515611981,1719515612424,0,redCircle,redCircle,True
1719515612928,1719515613844,1719515614290,0,greenCircle,greenCircle,True
1719515614794,1719515615775,1719515616218,0,redCircle,redCircle,True
1719515616725,1719515617613,1719515618043,0,greenCircle,greenCircle,True
1719515618558,1719515620085,1719515620582,0,redCircle,redCircle,True
1719515621093,1719515622444,1719515622862,0,redCircle,redCircle,True
1719515623380,1719515624645,1719515625076,0,redCircle,redCircle,True
1719515625579,1719515626811,1719515627131,0,greenCircle,greenCircle,True
1719515627639,1719515628594,1719515628983,0,greenCircle,greenCircle,True
1719515629489,1719515630729,1719515631092,0,greenCircle,greenCircle,True
1719515631594,1719515633099,1719515633512,0,greenCircle,greenCircle,True
1719515634025,1719515635161,1719515635564,0,greenCircle,greenCircle,True
1719515636071,1719515637549,1719515637977,0,greenCircle,greenCircle,True
1719515638479,1719515639739,1719515640233,0,redCircle,redCircle,True
1719515640743,1719515641576,1719515642063,0,greenCircle,greenCircle,True
1719515642570,1719515643891,1719515644302,0,redCircle,redCircle,True
1719515644810,1719515645761,1719515646206,0,redCircle,redCircle,True
1719515646713,1719515648393,1719515648811,0,redCircle,redCircle,True
1719515649315,1719515650277,1719515650681,0,redCircle,redCircle,True
1719515651186,1719515652863,1719515653265,0,greenCircle,greenCircle,True
1719515653779,1719515652027,1719515652486,0,redCircle,redCircle,True
