CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719606426926,1719606428115,1719606428470,0,redCircle,redCircle,True
1719606428981,1719606430492,1719606430804,0,redCircle,redCircle,True
1719606431314,1719606432280,1719606432748,0,redCircle,redCircle,True
1719606433259,1719606434814,1719606435216,0,greenCircle,greenCircle,True
1719606435726,1719606437093,1719606437549,0,redCircle,redCircle,True
1719606438059,1719606439236,1719606439615,0,redCircle,redCircle,True
1719606440126,1719606440860,1719606441159,0,redCircle,redCircle,True
1719606441670,1719606443304,1719606443616,0,redCircle,redCircle,True
1719606444126,1719606444981,1719606445328,0,redCircle,redCircle,True
1719606445836,1719606446803,1719606447115,0,redCircle,redCircle,True
1719606447626,1719606449259,1719606449693,0,greenCircle,greenCircle,True
1719606450202,1719606451281,1719606451803,0,redCircle,redCircle,True
1719606452314,1719606453380,1719606453893,0,greenCircle,greenCircle,True
1719606454403,1719606455203,1719606455849,0,greenCircle,greenCircle,True
1719606456359,1719606457147,1719606457582,0,redCircle,redCircle,True
1719606458092,1719606459715,1719606460182,0,redCircle,redCircle,True
1719606460693,1719606461860,1719606462215,0,redCircle,redCircle,True
1719606462725,1719606463681,1719606464082,0,redCircle,redCircle,True
1719606464593,1719606466127,1719606466537,0,redCircle,redCircle,True
1719606467048,1719606467859,1719606468237,0,greenCircle,greenCircle,True
1719606468747,1719606470303,1719606470594,0,greenCircle,greenCircle,True
1719606471103,1719606471847,1719606472160,0,greenCircle,greenCircle,True
1719606472670,1719606473413,1719606474070,0,redCircle,redCircle,True
1719606474580,1719606476136,1719606476582,0,redCircle,redCircle,True
1719606477092,1719606478581,1719606478928,0,greenCircle,greenCircle,True
1719606479436,1719606480168,1719606480481,0,greenCircle,greenCircle,True
1719606480982,1719606481860,1719606482182,0,greenCircle,greenCircle,True
1719606482693,1719606484226,1719606484804,0,redCircle,redCircle,True
1719606485314,1719606486592,1719606486928,0,redCircle,redCircle,True
1719606487436,1719606488915,1719606489271,0,greenCircle,redCircle,False
1719606489780,1719606491103,1719606491615,0,redCircle,redCircle,True
1719606492126,1719606493003,1719606493393,0,greenCircle,greenCircle,True
1719606493902,1719606495169,1719606495549,0,greenCircle,greenCircle,True
1719606496059,1719606497693,1719606498094,0,greenCircle,greenCircle,True
1719606498603,1719606500249,1719606500695,0,redCircle,redCircle,True
1719606501203,1719606502380,1719606503181,0,greenCircle,greenCircle,True
1719606503693,1719606505204,1719606505760,0,redCircle,redCircle,True
1719606506261,1719606507415,1719606508038,0,greenCircle,greenCircle,True
1719606508548,1719606509603,1719606510095,0,redCircle,redCircle,True
1719606510604,1719606511704,1719606512216,0,redCircle,redCircle,True
1719606512727,1719606513815,1719606514494,0,redCircle,redCircle,True
1719606515004,1719606515748,1719606516250,0,greenCircle,greenCircle,True
1719606516760,1719606518460,1719606519428,0,greenCircle,greenCircle,True
1719606519937,1719606521526,1719606522016,0,greenCircle,greenCircle,True
1719606522526,1719606524193,1719606524662,0,greenCircle,greenCircle,True
1719606525171,1719606526748,1719606527271,0,redCircle,redCircle,True
1719606527781,1719606529182,1719606529561,0,redCircle,redCircle,True
1719606530070,1719606531293,1719606531773,0,redCircle,redCircle,True
1719606532281,1719606533726,1719606534294,0,greenCircle,greenCircle,True
1719606534804,1719606535793,1719606536238,0,redCircle,redCircle,True
1719606536748,1719606538058,1719606538661,0,redCircle,redCircle,True
1719606539171,1719606540237,1719606540717,0,greenCircle,greenCircle,True
1719606541226,1719606542504,1719606542883,0,greenCircle,greenCircle,True
1719606543393,1719606545004,1719606545495,0,redCircle,redCircle,True
1719606546003,1719606547448,1719606548283,0,greenCircle,redCircle,False
1719606548793,1719606550395,1719606550817,0,redCircle,redCircle,True
1719606551326,1719606552103,1719606552405,0,greenCircle,greenCircle,True
1719606552915,1719606553659,1719606554094,0,redCircle,redCircle,True
1719606554604,1719606555336,1719606555682,0,redCircle,greenCircle,False
1719606556194,1719606556937,1719606557416,0,redCircle,redCircle,True
1719606557926,1719606559181,1719606559539,0,redCircle,redCircle,True
1719606560049,1719606561215,1719606561783,0,greenCircle,greenCircle,True
1719606562294,1719606563237,1719606563705,0,redCircle,redCircle,True
1719606564215,1719606565671,1719606566295,0,greenCircle,greenCircle,True
1719606566795,1719606568327,1719606568871,0,greenCircle,greenCircle,True
1719606569381,1719606570471,1719606570883,0,greenCircle,greenCircle,True
1719606571392,1719606572481,1719606572896,0,redCircle,redCircle,True
1719606573404,1719606574716,1719606575283,0,greenCircle,greenCircle,True
1719606575793,1719606576593,1719606576982,0,redCircle,redCircle,True
1719606577494,1719606578415,1719606578838,0,redCircle,redCircle,True
1719606579349,1719606580394,1719606580938,0,greenCircle,greenCircle,True
1719606581448,1719606582460,1719606582872,0,greenCircle,greenCircle,True
1719606583382,1719606584137,1719606584471,0,greenCircle,greenCircle,True
1719606584981,1719606585781,1719606586105,0,greenCircle,greenCircle,True
1719606586616,1719606587360,1719606587695,0,greenCircle,greenCircle,True
1719606588204,1719606589061,1719606589350,0,redCircle,greenCircle,False
1719606589860,1719606591303,1719606591861,0,greenCircle,greenCircle,True
1719606592371,1719606593304,1719606593671,0,redCircle,redCircle,True
1719606594181,1719606595281,1719606595595,0,redCircle,redCircle,True
1719606596104,1719606597293,1719606597650,0,greenCircle,redCircle,False
1719606598160,1719606599648,1719606600161,0,greenCircle,greenCircle,True
1719606600671,1719606601415,1719606601950,0,redCircle,redCircle,True
1719606602460,1719606603515,1719606604017,0,greenCircle,greenCircle,True
1719606604528,1719606606127,1719606606550,0,redCircle,redCircle,True
1719606607060,1719606608170,1719606608695,0,greenCircle,greenCircle,True
1719606609205,1719606610681,1719606611150,0,redCircle,redCircle,True
1719606611660,1719606612504,1719606613051,0,greenCircle,greenCircle,True
1719606613561,1719606614881,1719606615294,0,redCircle,redCircle,True
1719606615806,1719606617116,1719606617729,0,greenCircle,greenCircle,True
