CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719432392211,1719432393878,1719432394323,0,redCircle,redCircle,True
1719432394833,1719432396155,1719432396612,0,greenCircle,greenCircle,True
1719432397122,1719432398556,1719432398945,0,redCircle,redCircle,True
1719432399455,1719432400188,1719432400589,0,redCircle,redCircle,True
1719432401100,1719432402457,1719432402856,0,greenCircle,greenCircle,True
1719432403366,1719432404278,1719432404723,0,redCircle,redCircle,True
1719432405234,1719432405956,1719432406368,0,greenCircle,greenCircle,True
1719432406877,1719432408211,1719432408612,0,redCircle,redCircle,True
1719432409122,1719432410144,1719432410701,0,redCircle,redCircle,True
1719432411212,1719432412111,1719432412500,0,redCircle,redCircle,True
1719432413011,1719432413866,1719432414323,0,greenCircle,greenCircle,True
1719432414834,1719432416123,1719432416602,0,redCircle,redCircle,True
1719432417111,1719432418122,1719432418757,0,greenCircle,greenCircle,True
1719432419267,1719432420822,1719432421446,0,greenCircle,greenCircle,True
1719432421956,1719432422956,1719432423434,0,greenCircle,greenCircle,True
1719432423945,1719432425411,1719432425868,0,redCircle,redCircle,True
1719432426377,1719432427122,1719432427645,0,redCircle,redCircle,True
1719432428156,1719432429189,1719432429823,0,greenCircle,greenCircle,True
1719432430333,1719432431889,1719432432523,0,greenCircle,greenCircle,True
1719432433034,1719432433990,1719432434534,0,greenCircle,greenCircle,True
1719432435045,1719432436689,1719432437212,0,greenCircle,greenCircle,True
1719432437723,1719432439134,1719432439723,0,greenCircle,greenCircle,True
1719432440233,1719432441678,1719432442212,0,redCircle,redCircle,True
1719432442723,1719432443967,1719432444434,0,greenCircle,greenCircle,True
1719432444945,1719432446556,1719432447112,0,redCircle,redCircle,True
1719432447623,1719432449223,1719432450624,0,redCircle,redCircle,True
1719432451134,1719432452723,1719432453423,0,greenCircle,greenCircle,True
1719432453933,1719432454900,1719432455702,0,greenCircle,greenCircle,True
1719432456212,1719432456979,1719432457557,0,greenCircle,greenCircle,True
1719432458067,1719432459379,1719432459813,0,redCircle,redCircle,True
1719432460323,1719432461745,1719432462357,0,redCircle,redCircle,True
1719432462867,1719432464456,1719432464901,0,redCircle,redCircle,True
1719432465411,1719432467078,1719432467656,0,greenCircle,greenCircle,True
1719432468167,1719432469078,1719432469546,0,greenCircle,greenCircle,True
1719432470056,1719432471001,1719432471546,0,redCircle,redCircle,True
1719432472056,1719432473289,1719432473846,0,greenCircle,greenCircle,True
1719432474357,1719432475357,1719432475868,0,greenCircle,greenCircle,True
1719432476378,1719432478045,1719432478568,0,redCircle,redCircle,True
1719432479078,1719432480789,1719432481290,0,greenCircle,greenCircle,True
1719432481801,1719432483389,1719432483757,0,redCircle,redCircle,True
1719432484266,1719432485022,1719432485925,0,redCircle,redCircle,True
1719432486434,1719432487745,1719432488124,0,redCircle,redCircle,True
1719432488635,1719432490123,1719432490524,0,greenCircle,greenCircle,True
1719432491034,1719432492479,1719432492835,0,redCircle,redCircle,True
1719432493345,1719432494346,1719432494758,0,greenCircle,greenCircle,True
1719432495267,1719432496445,1719432496880,0,greenCircle,greenCircle,True
1719432497390,1719432498834,1719432499291,0,greenCircle,greenCircle,True
1719432499801,1719432500745,1719432501191,0,redCircle,redCircle,True
1719432501701,1719432502623,1719432503346,0,greenCircle,greenCircle,True
1719432503857,1719432505245,1719432505634,0,greenCircle,greenCircle,True
1719432506146,1719432506968,1719432507602,0,redCircle,redCircle,True
1719432508112,1719432509345,1719432509747,0,greenCircle,greenCircle,True
1719432510257,1719432511002,1719432511558,0,greenCircle,greenCircle,True
