CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719353815365,1719353816205,1719353816621,0,redCircle,redCircle,True
1719353817125,1719353818078,1719353818398,0,redCircle,redCircle,True
1719353818901,1719353820295,1719353820635,0,redCircle,redCircle,True
1719353821144,1719353822743,1719353823034,0,redCircle,redCircle,True
1719353823541,1719353825184,1719353825471,0,redCircle,redCircle,True
1719353825982,1719353826797,1719353827116,0,redCircle,redCircle,True
1719353827621,1719353828409,1719353828724,0,redCircle,redCircle,True
1719353829235,1719353830646,1719353830948,0,redCircle,redCircle,True
1719353831459,1719353833121,1719353833378,0,redCircle,redCircle,True
1719353833892,1719353835427,1719353835719,0,redCircle,redCircle,True
1719353836224,1719353836942,1719353837348,0,redCircle,redCircle,True
1719353837857,1719353839194,1719353839536,0,redCircle,redCircle,True
1719353840044,1719353841028,1719353841289,0,redCircle,redCircle,True
1719353841792,1719353843453,1719353843723,0,redCircle,redCircle,True
1719353844230,1719353845441,1719353845713,0,redCircle,redCircle,True
1719353846225,1719353847494,1719353847758,0,redCircle,redCircle,True
1719353848263,1719353849114,1719353849436,0,redCircle,redCircle,True
1719353849948,1719353850883,1719353851200,0,redCircle,redCircle,True
1719353851709,1719353853199,1719353853491,0,redCircle,redCircle,True
1719353853999,1719353855430,1719353856004,0,redCircle,redCircle,True
1719353856512,1719353857520,1719353857856,0,redCircle,redCircle,True
1719353858371,1719353859622,1719353860362,0,redCircle,redCircle,True
1719353860875,1719353861606,1719353861959,0,redCircle,redCircle,True
1719353862476,1719353864125,1719353864429,0,redCircle,redCircle,True
1719353864932,1719353866521,1719353866827,0,redCircle,redCircle,True
1719353867343,1719353868203,1719353868514,0,redCircle,redCircle,True
1719353869016,1719353870008,1719353870311,0,redCircle,redCircle,True
1719353870823,1719353872055,1719353872345,0,redCircle,redCircle,True
1719353872858,1719353874426,1719353874761,0,redCircle,redCircle,True
1719353875269,1719353876923,1719353877223,0,redCircle,redCircle,True
1719353877738,1719353878578,1719353878879,0,redCircle,redCircle,True
1719353879388,1719353880966,1719353881255,0,redCircle,redCircle,True
1719353881757,1719353882725,1719353883068,0,redCircle,redCircle,True
1719353883569,1719353884849,1719353885147,0,redCircle,redCircle,True
1719353885659,1719353887308,1719353887618,0,redCircle,redCircle,True
1719353888127,1719353889726,1719353890033,0,redCircle,redCircle,True
1719353890546,1719353891453,1719353891738,0,redCircle,redCircle,True
1719353892249,1719353893328,1719353893651,0,redCircle,redCircle,True
1719353894159,1719353895324,1719353895619,0,redCircle,redCircle,True
1719353896126,1719353897802,1719353898124,0,redCircle,redCircle,True
1719353898633,1719353899972,1719353900291,0,redCircle,redCircle,True
1719353900807,1719353902513,1719353902795,0,redCircle,redCircle,True
1719353903303,1719353904064,1719353904418,0,redCircle,redCircle,True
1719353904930,1719353906490,1719353906796,0,redCircle,redCircle,True
1719353907305,1719353908567,1719353908901,0,redCircle,redCircle,True
1719353909402,1719353910703,1719353911005,0,redCircle,redCircle,True
1719353911519,1719353912428,1719353912736,0,redCircle,redCircle,True
1719353913246,1719353914386,1719353914704,0,redCircle,redCircle,True
1719353915216,1719353916153,1719353916477,0,redCircle,redCircle,True
1719353916980,1719353917733,1719353918042,0,redCircle,redCircle,True
1719353918547,1719353919591,1719353919891,0,redCircle,redCircle,True
1719353920403,1719353921447,1719353921758,0,redCircle,redCircle,True
1719353922264,1719353923526,1719353923825,0,redCircle,redCircle,True
1719353924336,1719353925666,1719353925936,0,redCircle,redCircle,True
1719353926438,1719353927253,1719353927573,0,redCircle,redCircle,True
1719353928079,1719353929793,1719353930094,0,redCircle,redCircle,True
1719353930605,1719353931416,1719353931731,0,redCircle,redCircle,True
1719353932240,1719353933676,1719353933956,0,redCircle,redCircle,True
1719353934471,1719353935771,1719353936072,0,redCircle,redCircle,True
