CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719430499585,1719430501060,1719430501877,0,redCircle,redCircle,True
1719430502391,1719430503522,1719430504046,0,redCircle,redCircle,True
1719430504555,1719430506010,1719430506347,0,redCircle,redCircle,True
1719430506855,1719430508561,1719430508967,0,redCircle,redCircle,True
1719430509482,1719430510658,1719430511209,0,redCircle,redCircle,True
1719430511722,1719430512958,1719430513363,0,redCircle,redCircle,True
1719430513878,1719430514963,1719430515459,0,redCircle,redCircle,True
1719430515967,1719430517523,1719430518164,0,redCircle,redCircle,True
1719430518665,1719430519599,1719430520704,0,redCircle,redCircle,True
1719430521215,1719430522234,1719430522696,0,redCircle,redCircle,True
1719430523204,1719430524663,1719430525014,0,redCircle,redCircle,True
1719430525528,1719430526908,1719430527256,0,redCircle,redCircle,True
1719430527766,1719430529110,1719430529414,0,redCircle,redCircle,True
1719430529927,1719430530789,1719430531109,0,redCircle,redCircle,True
1719430531616,1719430533230,1719430533553,0,redCircle,redCircle,True
1719430534063,1719430535533,1719430536305,0,redCircle,redCircle,True
1719430536819,1719430538015,1719430538421,0,redCircle,redCircle,True
1719430538925,1719430540166,1719430540588,0,redCircle,redCircle,True
1719430541100,1719430542628,1719430542909,0,redCircle,redCircle,True
1719430543417,1719430544831,1719430545301,0,redCircle,redCircle,True
1719430545813,1719430547483,1719430547821,0,redCircle,redCircle,True
1719430548323,1719430549146,1719430549695,0,redCircle,redCircle,True
1719430550211,1719430551350,1719430551784,0,redCircle,redCircle,True
1719430552288,1719430553703,1719430554201,0,redCircle,redCircle,True
1719430554703,1719430556048,1719430556514,0,redCircle,redCircle,True
1719430557015,1719430558530,1719430558982,0,redCircle,redCircle,True
1719430559483,1719430561085,1719430561485,0,redCircle,redCircle,True
1719430561993,1719430562763,1719430563436,0,redCircle,redCircle,True
1719430563948,1719430565189,1719430565626,0,redCircle,redCircle,True
1719430566128,1719430567572,1719430567882,0,redCircle,redCircle,True
1719430568390,1719430569728,1719430570106,0,redCircle,redCircle,True
1719430570617,1719430571752,1719430572192,0,redCircle,redCircle,True
1719430572705,1719430574334,1719430574747,0,redCircle,redCircle,True
1719430575249,1719430576387,1719430577047,0,redCircle,redCircle,True
1719430577552,1719430578647,1719430579046,0,redCircle,redCircle,True
1719430579552,1719430580729,1719430581302,0,redCircle,redCircle,True
1719430581812,1719430583048,1719430583445,0,redCircle,redCircle,True
1719430583951,1719430585263,1719430585740,0,redCircle,redCircle,True
1719430586241,1719430587302,1719430587902,0,redCircle,redCircle,True
1719430588417,1719430589230,1719430589713,0,redCircle,redCircle,True
1719430590224,1719430591694,1719430592048,0,redCircle,redCircle,True
1719430592551,1719430593382,1719430593779,0,redCircle,redCircle,True
1719430594285,1719430595703,1719430596069,0,redCircle,redCircle,True
1719430596581,1719430597570,1719430597991,0,redCircle,redCircle,True
1719430598503,1719430599235,1719430599672,0,redCircle,redCircle,True
1719430600177,1719430601149,1719430601592,0,redCircle,redCircle,True
1719430602093,1719430603507,1719430603886,0,redCircle,redCircle,True
1719430604399,1719430605815,1719430606294,0,redCircle,redCircle,True
1719430606803,1719430607689,1719430608344,0,redCircle,redCircle,True
1719430608846,1719430610165,1719430610686,0,redCircle,redCircle,True
1719430611199,1719430611953,1719430612583,0,redCircle,redCircle,True
1719430613085,1719430613824,1719430614435,0,redCircle,redCircle,True
1719430614951,1719430615936,1719430616461,0,redCircle,redCircle,True
1719430616967,1719430617938,1719430618581,0,redCircle,redCircle,True
1719430619090,1719430620743,1719430621149,0,redCircle,redCircle,True
1719430621660,1719430623219,1719430623786,0,redCircle,redCircle,True
1719430624287,1719430625570,1719430626045,0,redCircle,redCircle,True
1719430626560,1719430627866,1719430628492,0,redCircle,redCircle,True
1719430629003,1719430630428,1719430630841,0,redCircle,redCircle,True
1719430631354,1719430632221,1719430632706,0,redCircle,redCircle,True
1719430633220,1719430634799,1719430635171,0,redCircle,redCircle,True
1719430635683,1719430637135,1719430637603,0,redCircle,redCircle,True
1719430638106,1719430639731,1719430640185,0,redCircle,redCircle,True
1719430640687,1719430641951,1719430642432,0,redCircle,redCircle,True
1719430642949,1719430643985,1719430644611,0,redCircle,redCircle,True
1719430645114,1719430646426,1719430646934,0,redCircle,redCircle,True
1719430647435,1719430648838,1719430649305,0,redCircle,redCircle,True
1719430649811,1719430651271,1719430651672,0,redCircle,redCircle,True
1719430652184,1719430652995,1719430653494,0,redCircle,redCircle,True
1719430654004,1719430655453,1719430656433,0,redCircle,redCircle,True
1719430656944,1719430657765,1719430658251,0,redCircle,redCircle,True
1719430658764,1719430660133,1719430660704,0,redCircle,redCircle,True
1719430661220,1719430662531,1719430663097,0,redCircle,redCircle,True
1719430663607,1719430664386,1719430664954,0,redCircle,redCircle,True
1719430665469,1719430666771,1719430667368,0,redCircle,redCircle,True
1719430667869,1719430669356,1719430669855,0,redCircle,redCircle,True
1719430670367,1719430671269,1719430672764,0,redCircle,redCircle,True
1719430673275,1719430674563,1719430675184,0,redCircle,redCircle,True
1719430675688,1719430677020,1719430677460,0,redCircle,redCircle,True
1719430677968,1719430678816,1719430679355,0,redCircle,redCircle,True
1719430679869,1719430681237,1719430681690,0,redCircle,redCircle,True
1719430682203,1719430683092,1719430683573,0,redCircle,redCircle,True
1719430684086,1719430684910,1719430685435,0,redCircle,redCircle,True
1719430685949,1719430687333,1719430687900,0,redCircle,redCircle,True
1719430688400,1719430690041,1719430690439,0,redCircle,redCircle,True
1719430690954,1719430692528,1719430692981,0,redCircle,redCircle,True
1719430693492,1719430695096,1719430695494,0,redCircle,redCircle,True
1719430696002,1719430697167,1719430697647,0,redCircle,redCircle,True
1719430698155,1719430699219,1719430699855,0,redCircle,redCircle,True
1719430700370,1719430701804,1719430701857,0,redCircle,redCircle,True
1719430702373,1719430703655,1719430704039,0,redCircle,redCircle,True
1719430704541,1719430705495,1719430705977,0,redCircle,redCircle,True
1719430706480,1719430708071,1719430708424,0,redCircle,redCircle,True
1719430708938,1719430709918,1719430710372,0,redCircle,redCircle,True
1719430710879,1719430712545,1719430712904,0,redCircle,redCircle,True
1719430713417,1719430714856,1719430715356,0,redCircle,redCircle,True
1719430715857,1719430716801,1719430717339,0,redCircle,redCircle,True
1719430717853,1719430718643,1719430719152,0,redCircle,redCircle,True
1719430719655,1719430720984,1719430721466,0,redCircle,redCircle,True
1719430721973,1719430723347,1719430723764,0,redCircle,redCircle,True
