CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719527486653,1719527487455,1719527487937,0,redCircle,redCircle,True
1719527488441,1719527489790,1719527490095,0,redCircle,redCircle,True
1719527490601,1719527491513,1719527492025,0,redCircle,redCircle,True
1719527492529,1719527493422,1719527493740,0,redCircle,redCircle,True
1719527494244,1719527495433,1719527495733,0,redCircle,redCircle,True
1719527496238,1719527497400,1719527497689,0,redCircle,redCircle,True
1719527498199,1719527499479,1719527499754,0,redCircle,redCircle,True
1719527500265,1719527501475,1719527501917,0,redCircle,redCircle,True
1719527502419,1719527503746,1719527504050,0,redCircle,redCircle,True
1719527504551,1719527506249,1719527506556,0,redCircle,redCircle,True
1719527507066,1719527508516,1719527508887,0,redCircle,redCircle,True
1719527509399,1719527510114,1719527510487,0,redCircle,redCircle,True
1719527510989,1719527512465,1719527512811,0,redCircle,redCircle,True
1719527513314,1719527514978,1719527515281,0,redCircle,redCircle,True
1719527515787,1719527517336,1719527517653,0,redCircle,redCircle,True
1719527518155,1719527519260,1719527519717,0,redCircle,redCircle,True
1719527520234,1719527521312,1719527521684,0,redCircle,redCircle,True
1719527522188,1719527523525,1719527523817,0,redCircle,redCircle,True
1719527524318,1719527525399,1719527525881,0,redCircle,redCircle,True
1719527526384,1719527527626,1719527527948,0,redCircle,redCircle,True
1719527528466,1719527530081,1719527530369,0,redCircle,redCircle,True
1719527530871,1719527531678,1719527532150,0,redCircle,redCircle,True
1719527532652,1719527533978,1719527534268,0,redCircle,redCircle,True
1719527534777,1719527535521,1719527536326,0,redCircle,redCircle,True
1719527536834,1719527537804,1719527538275,0,redCircle,redCircle,True
1719527538782,1719527539718,1719527540068,0,redCircle,redCircle,True
1719527540569,1719527541702,1719527542050,0,redCircle,redCircle,True
1719527542559,1719527543452,1719527544421,0,redCircle,redCircle,True
1719527544934,1719527545687,1719527546067,0,redCircle,redCircle,True
1719527546567,1719527548036,1719527548369,0,redCircle,redCircle,True
1719527548869,1719527550200,1719527550558,0,redCircle,redCircle,True
1719527551068,1719527552685,1719527553086,0,redCircle,redCircle,True
1719527553592,1719527554435,1719527554851,0,redCircle,redCircle,True
1719527555356,1719527557052,1719527557552,0,redCircle,redCircle,True
1719527558053,1719527559343,1719527559717,0,redCircle,redCircle,True
1719527560222,1719527561339,1719527561813,0,redCircle,redCircle,True
1719527562317,1719527563217,1719527563550,0,redCircle,redCircle,True
1719527564051,1719527564826,1719527565146,0,redCircle,redCircle,True
1719527565651,1719527566451,1719527566756,0,redCircle,redCircle,True
1719527567261,1719527568670,1719527568949,0,redCircle,redCircle,True
1719527569454,1719527571002,1719527571336,0,redCircle,redCircle,True
1719527571844,1719527572850,1719527573155,0,redCircle,redCircle,True
1719527573667,1719527574605,1719527575038,0,redCircle,redCircle,True
1719527575540,1719527577254,1719527577669,0,redCircle,redCircle,True
1719527578174,1719527579847,1719527580173,0,redCircle,redCircle,True
1719527580682,1719527582133,1719527582919,0,redCircle,redCircle,True
1719527583421,1719527584312,1719527584685,0,redCircle,redCircle,True
1719527585201,1719527586732,1719527587020,0,redCircle,redCircle,True
1719527587525,1719527588258,1719527588771,0,redCircle,redCircle,True
1719527589272,1719527590639,1719527591098,0,redCircle,redCircle,True
1719527591602,1719527592651,1719527592969,0,redCircle,redCircle,True
1719527593472,1719527594303,1719527594693,0,redCircle,redCircle,True
1719527595201,1719527596385,1719527596679,0,redCircle,redCircle,True
1719527597189,1719527598850,1719527599306,0,redCircle,redCircle,True
1719527599817,1719527601330,1719527601773,0,redCircle,redCircle,True
1719527602281,1719527602998,1719527603371,0,redCircle,redCircle,True
1719527603882,1719527604930,1719527605193,0,redCircle,redCircle,True
1719527605703,1719527606693,1719527607024,0,redCircle,redCircle,True
1719527607529,1719527608847,1719527609106,0,redCircle,redCircle,True
1719527609613,1719527610673,1719527610979,0,redCircle,redCircle,True
1719527611486,1719527612535,1719527612828,0,redCircle,redCircle,True
1719527613334,1719527614312,1719527614616,0,redCircle,redCircle,True
1719527615118,1719527616073,1719527616404,0,redCircle,redCircle,True
1719527616907,1719527618176,1719527618493,0,redCircle,redCircle,True
1719527619003,1719527620137,1719527620426,0,redCircle,redCircle,True
1719527620932,1719527622366,1719527622654,0,redCircle,redCircle,True
1719527623159,1719527624316,1719527624649,0,redCircle,redCircle,True
1719527625151,1719527626336,1719527626651,0,redCircle,redCircle,True
1719527627153,1719527628052,1719527628397,0,redCircle,redCircle,True
1719527628901,1719527629865,1719527630184,0,redCircle,redCircle,True
1719527630690,1719527632008,1719527632533,0,redCircle,redCircle,True
1719527633039,1719527633785,1719527634156,0,redCircle,redCircle,True
1719527634661,1719527635818,1719527636136,0,redCircle,redCircle,True
1719527636641,1719527637759,1719527638202,0,redCircle,redCircle,True
1719527638716,1719527639776,1719527640073,0,redCircle,redCircle,True
1719527640574,1719527642104,1719527642407,0,redCircle,redCircle,True
1719527642916,1719527644608,1719527644971,0,redCircle,redCircle,True
1719527645487,1719527647125,1719527647509,0,redCircle,redCircle,True
