CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719342869434,1719342870600,1719342870901,0,redCircle,redCircle,True
1719342871412,1719342872345,1719342872602,0,redCircle,redCircle,True
1719342873111,1719342874212,1719342874492,0,redCircle,redCircle,True
1719342875001,1719342875968,1719342876203,0,redCircle,redCircle,True
1719342876711,1719342877502,1719342877747,0,redCircle,redCircle,True
1719342878256,1719342879367,1719342879613,0,redCircle,redCircle,True
1719342880123,1719342881279,1719342881547,0,redCircle,redCircle,True
1719342882057,1719342883301,1719342883559,0,redCircle,redCircle,True
1719342884068,1719342884991,1719342885302,0,redCircle,redCircle,True
1719342885812,1719342887179,1719342887279,0,redCircle,redCircle,True
1719342887790,1719342888790,1719342889102,0,redCircle,redCircle,True
1719342889611,1719342890691,1719342890979,0,redCircle,redCircle,True
1719342891490,1719342893168,1719342893435,0,redCircle,redCircle,True
1719342893945,1719342895268,1719342895513,0,redCircle,redCircle,True
1719342896024,1719342897301,1719342897536,0,redCircle,redCircle,True
1719342898045,1719342899279,1719342899503,0,redCircle,redCircle,True
1719342900012,1719342901525,1719342901780,0,redCircle,redCircle,True
1719342902293,1719342903611,1719342903869,0,redCircle,redCircle,True
1719342904379,1719342905435,1719342905679,0,redCircle,redCircle,True
1719342906190,1719342907201,1719342907446,0,redCircle,redCircle,True
1719342907958,1719342909211,1719342909468,0,redCircle,redCircle,True
1719342909979,1719342910845,1719342911135,0,redCircle,redCircle,True
1719342911646,1719342913290,1719342913529,0,redCircle,redCircle,True
1719342914035,1719342915145,1719342915403,0,redCircle,redCircle,True
1719342915912,1719342916724,1719342916979,0,redCircle,redCircle,True
1719342917491,1719342918658,1719342919836,0,redCircle,redCircle,True
1719342920345,1719342921191,1719342921468,0,redCircle,redCircle,True
1719342921980,1719342923092,1719342927880,0,redCircle,redCircle,True
1719342928414,1719342929169,1719342968925,0,redCircle,redCircle,True
1719342969436,1719342970779,1719342971080,0,redCircle,redCircle,True
1719342971592,1719342972514,1719342972814,0,redCircle,redCircle,True
1719342973324,1719342974192,1719342974470,0,redCircle,redCircle,True
1719342974979,1719342976146,1719342976481,0,redCircle,redCircle,True
1719342976992,1719342977880,1719342978161,0,redCircle,redCircle,True
1719342978669,1719342980135,1719342980481,0,redCircle,redCircle,True
1719342980995,1719342981759,1719342982359,0,redCircle,redCircle,True
1719342982869,1719342984458,1719342984727,0,redCircle,redCircle,True
1719342985236,1719342986668,1719342986925,0,redCircle,redCircle,True
1719342987435,1719342988369,1719342988658,0,redCircle,redCircle,True
1719342989160,1719342990813,1719342991160,0,redCircle,redCircle,True
1719342991670,1719342993279,1719342993614,0,redCircle,redCircle,True
1719342994124,1719342995514,1719342995826,0,redCircle,redCircle,True
1719342996336,1719342998025,1719342998303,0,redCircle,redCircle,True
1719342998814,1719342999980,1719343000259,0,redCircle,redCircle,True
1719343000760,1719343002193,1719343002447,0,redCircle,redCircle,True
1719343002960,1719343003935,1719343004259,0,redCircle,redCircle,True
1719343004770,1719343005560,1719343005927,0,redCircle,redCircle,True
1719343006436,1719343008060,1719343008327,0,redCircle,redCircle,True
1719343008836,1719343010402,1719343010694,0,redCircle,redCircle,True
1719343011202,1719343012192,1719343012493,0,redCircle,redCircle,True
1719343013004,1719343014114,1719343014381,0,redCircle,redCircle,True
1719343014893,1719343016481,1719343016737,0,redCircle,redCircle,True
1719343017246,1719343018381,1719343018659,0,redCircle,redCircle,True
1719343019170,1719343020559,1719343020926,0,redCircle,redCircle,True
1719343021436,1719343022846,1719343023137,0,redCircle,redCircle,True
1719343023647,1719343024770,1719343025315,0,redCircle,redCircle,True
1719343025825,1719343026791,1719343027103,0,redCircle,redCircle,True
1719343027613,1719343028727,1719343028993,0,redCircle,redCircle,True
1719343029502,1719343030347,1719343030637,0,redCircle,redCircle,True
1719343031147,1719343032370,1719343032626,0,redCircle,redCircle,True
1719343033136,1719343034081,1719343034393,0,redCircle,redCircle,True
1719343034902,1719343036492,1719343036716,0,redCircle,redCircle,True
1719343037226,1719343038180,1719343038427,0,redCircle,redCircle,True
1719343038936,1719343040426,1719343040660,0,redCircle,redCircle,True
1719343041160,1719343042146,1719343042427,0,redCircle,redCircle,True
1719343042935,1719343044203,1719343044426,0,redCircle,redCircle,True
1719343044935,1719343045936,1719343046237,0,redCircle,redCircle,True
1719343046747,1719343047759,1719343048004,0,redCircle,redCircle,True
1719343048514,1719343049614,1719343049848,0,redCircle,redCircle,True
1719343050359,1719343051247,1719343051494,0,redCircle,redCircle,True
1719343052003,1719343053526,1719343053881,0,redCircle,redCircle,True
1719343054392,1719343055591,1719343055882,0,redCircle,redCircle,True
1719343056392,1719343057703,1719343058014,0,redCircle,redCircle,True
1719343058526,1719343059603,1719343059904,0,redCircle,redCircle,True
1719343060414,1719343061647,1719343061916,0,redCircle,redCircle,True
1719343062426,1719343064093,1719343064349,0,redCircle,redCircle,True
1719343064861,1719343065793,1719343066097,0,redCircle,redCircle,True
1719343066602,1719343067459,1719343067760,0,redCircle,redCircle,True
1719343068270,1719343069214,1719343069461,0,redCircle,redCircle,True
1719343069970,1719343070695,1719343071005,0,redCircle,redCircle,True
1719343071514,1719343073070,1719343073338,0,redCircle,redCircle,True
1719343073847,1719343074959,1719343075215,0,redCircle,redCircle,True
1719343075725,1719343076760,1719343077027,0,redCircle,redCircle,True
1719343077536,1719343078760,1719343079049,0,redCircle,redCircle,True
1719343079562,1719343080295,1719343080694,0,redCircle,redCircle,True
1719343081203,1719343082248,1719343082638,0,redCircle,redCircle,True
1719343083148,1719343084714,1719343085038,0,redCircle,redCircle,True
1719343085539,1719343086414,1719343086704,0,redCircle,redCircle,True
1719343087214,1719343088415,1719343088705,0,redCircle,redCircle,True
1719343089213,1719343090781,1719343091038,0,redCircle,redCircle,True
1719343091547,1719343092971,1719343093294,0,redCircle,redCircle,True
1719343093803,1719343094781,1719343095060,0,redCircle,redCircle,True
1719343095561,1719343096314,1719343096961,0,redCircle,redCircle,True
1719343097470,1719343098393,1719343098760,0,redCircle,redCircle,True
1719343099270,1719343100503,1719343100749,0,redCircle,redCircle,True
1719343101261,1719343102392,1719343102660,0,redCircle,redCircle,True
1719343103170,1719343103993,1719343104327,0,redCircle,redCircle,True
1719343104838,1719343105703,1719343106061,0,redCircle,redCircle,True
1719343106570,1719343107504,1719343107782,0,redCircle,redCircle,True
1719343108293,1719343109948,1719343110194,0,redCircle,redCircle,True
