CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719606079932,1719606081555,1719606081823,0,redCircle,redCircle,True
1719606082332,1719606083155,1719606083523,0,redCircle,redCircle,True
1719606084032,1719606085389,1719606085677,0,redCircle,redCircle,True
1719606086188,1719606087465,1719606087677,0,redCircle,redCircle,True
1719606088188,1719606089232,1719606089533,0,redCircle,redCircle,True
1719606090043,1719606091044,1719606091334,0,redCircle,redCircle,True
1719606091844,1719606092843,1719606093123,0,redCircle,redCircle,True
1719606093633,1719606094378,1719606094812,0,redCircle,redCircle,True
1719606095321,1719606096398,1719606096667,0,redCircle,redCircle,True
1719606097177,1719606097943,1719606098178,0,redCircle,redCircle,True
1719606098689,1719606099698,1719606099989,0,redCircle,redCircle,True
1719606100499,1719606101255,1719606101523,0,redCircle,redCircle,True
1719606102033,1719606103043,1719606103300,0,redCircle,redCircle,True
1719606103810,1719606104577,1719606104823,0,redCircle,redCircle,True
1719606105333,1719606106444,1719606106722,0,redCircle,redCircle,True
1719606107232,1719606108589,1719606108845,0,redCircle,redCircle,True
1719606109355,1719606110322,1719606110633,0,redCircle,redCircle,True
1719606111144,1719606111956,1719606112244,0,redCircle,redCircle,True
1719606112755,1719606113832,1719606114211,0,redCircle,redCircle,True
1719606114721,1719606116166,1719606116466,0,redCircle,redCircle,True
1719606116977,1719606118310,1719606118580,0,redCircle,redCircle,True
1719606119090,1719606120576,1719606120857,0,redCircle,redCircle,True
1719606121365,1719606122133,1719606122479,0,redCircle,redCircle,True
1719606122988,1719606124555,1719606124866,0,redCircle,redCircle,True
1719606125367,1719606126577,1719606126845,0,redCircle,redCircle,True
1719606127356,1719606128277,1719606128544,0,redCircle,redCircle,True
1719606129055,1719606130699,1719606130978,0,redCircle,redCircle,True
1719606131489,1719606132477,1719606132811,0,redCircle,redCircle,True
1719606133322,1719606134800,1719606135067,0,redCircle,redCircle,True
1719606135578,1719606136477,1719606136756,0,redCircle,redCircle,True
1719606137266,1719606138078,1719606138312,0,redCircle,redCircle,True
1719606138822,1719606139733,1719606140012,0,redCircle,redCircle,True
1719606140522,1719606142111,1719606142724,0,redCircle,redCircle,True
1719606143232,1719606144022,1719606144333,0,redCircle,redCircle,True
1719606144844,1719606145756,1719606146045,0,redCircle,redCircle,True
1719606146557,1719606147723,1719606148000,0,redCircle,redCircle,True
1719606148511,1719606150155,1719606150412,0,redCircle,redCircle,True
1719606150922,1719606151922,1719606152245,0,redCircle,redCircle,True
1719606152757,1719606153877,1719606154156,0,redCircle,redCircle,True
1719606154666,1719606155489,1719606155757,0,redCircle,redCircle,True
1719606156266,1719606157823,1719606158100,0,redCircle,redCircle,True
1719606158610,1719606159922,1719606160200,0,redCircle,redCircle,True
1719606160710,1719606162078,1719606162358,0,redCircle,redCircle,True
1719606162866,1719606164458,1719606164723,0,redCircle,redCircle,True
1719606165233,1719606166111,1719606166668,0,redCircle,redCircle,True
1719606167178,1719606168711,1719606169001,0,redCircle,redCircle,True
1719606169511,1719606170544,1719606170812,0,redCircle,redCircle,True
1719606171322,1719606172756,1719606173013,0,redCircle,redCircle,True
1719606173522,1719606174801,1719606175068,0,redCircle,redCircle,True
1719606175577,1719606176889,1719606177167,0,redCircle,redCircle,True
1719606177678,1719606178944,1719606179212,0,redCircle,redCircle,True
1719606179723,1719606180478,1719606180934,0,redCircle,redCircle,True
1719606181444,1719606182677,1719606183112,0,redCircle,redCircle,True
1719606183622,1719606184933,1719606185278,0,redCircle,redCircle,True
1719606185789,1719606187334,1719606187613,0,redCircle,redCircle,True
1719606188122,1719606189056,1719606189334,0,redCircle,redCircle,True
1719606189844,1719606191445,1719606191668,0,redCircle,redCircle,True
1719606192178,1719606193290,1719606193558,0,redCircle,redCircle,True
1719606194067,1719606195210,1719606195490,0,redCircle,redCircle,True
1719606195991,1719606196811,1719606197268,0,redCircle,redCircle,True
1719606197778,1719606199144,1719606199401,0,redCircle,redCircle,True
1719606199911,1719606201366,1719606201612,0,redCircle,redCircle,True
1719606202123,1719606203233,1719606203568,0,redCircle,redCircle,True
1719606204078,1719606205211,1719606205513,0,redCircle,redCircle,True
1719606206023,1719606207478,1719606207779,0,redCircle,redCircle,True
1719606208289,1719606209290,1719606209668,0,redCircle,redCircle,True
1719606210178,1719606211578,1719606211834,0,redCircle,redCircle,True
1719606212344,1719606213890,1719606214158,0,redCircle,redCircle,True
1719606214667,1719606216178,1719606216412,0,redCircle,redCircle,True
1719606216923,1719606218556,1719606218824,0,redCircle,redCircle,True
1719606219333,1719606220166,1719606220423,0,redCircle,redCircle,True
1719606220933,1719606222357,1719606222612,0,redCircle,redCircle,True
1719606223123,1719606224667,1719606224924,0,redCircle,redCircle,True
1719606225433,1719606226423,1719606226812,0,redCircle,redCircle,True
1719606227323,1719606228378,1719606228668,0,redCircle,redCircle,True
1719606229178,1719606230657,1719606230934,0,redCircle,redCircle,True
1719606231445,1719606232333,1719606232713,0,redCircle,redCircle,True
1719606233222,1719606234323,1719606234858,0,redCircle,redCircle,True
1719606235366,1719606236312,1719606236668,0,redCircle,redCircle,True
1719606237178,1719606238157,1719606238435,0,redCircle,redCircle,True
1719606238945,1719606240257,1719606240679,0,redCircle,redCircle,True
1719606241189,1719606242367,1719606242846,0,redCircle,redCircle,True
1719606243357,1719606245011,1719606245279,0,redCircle,redCircle,True
1719606245789,1719606247267,1719606247668,0,redCircle,redCircle,True
1719606248178,1719606249401,1719606249735,0,redCircle,redCircle,True
1719606250244,1719606251678,1719606251956,0,redCircle,redCircle,True
1719606252466,1719606254111,1719606254380,0,redCircle,redCircle,True
1719606254890,1719606256479,1719606256724,0,redCircle,redCircle,True
1719606257234,1719606258857,1719606259125,0,redCircle,redCircle,True
1719606259634,1719606261200,1719606261445,0,redCircle,redCircle,True
1719606261957,1719606263111,1719606263402,0,redCircle,redCircle,True
