CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719255976777,1719255978088,1719255978455,0,redCircle,redCircle,True
1719255978966,1719255980221,1719255980600,0,redCircle,redCircle,True
1719255981110,1719255982032,1719255982345,0,redCircle,redCircle,True
1719255982855,1719255984477,1719255984800,0,redCircle,redCircle,True
1719255985310,1719255986120,1719255986433,0,redCircle,redCircle,True
1719255986943,1719255988088,1719255988355,0,redCircle,redCircle,True
1719255988865,1719255990488,1719255990800,0,redCircle,redCircle,True
1719255991310,1719255992621,1719255992900,0,redCircle,redCircle,True
1719255993411,1719255995121,1719255995389,0,redCircle,redCircle,True
1719255995898,1719255997188,1719255997478,0,redCircle,redCircle,True
1719255997988,1719255999077,1719255999333,0,redCircle,redCircle,True
1719255999844,1719256000844,1719256001078,0,redCircle,redCircle,True
1719256001588,1719256003188,1719256003501,0,redCircle,redCircle,True
1719256004010,1719256005410,1719256005678,0,redCircle,redCircle,True
1719256006188,1719256007088,1719256007423,0,redCircle,redCircle,True
1719256007932,1719256009299,1719256009556,0,redCircle,redCircle,True
1719256010066,1719256011333,1719256011600,0,redCircle,redCircle,True
1719256012110,1719256013188,1719256013444,0,redCircle,redCircle,True
1719256013955,1719256015356,1719256015622,0,redCircle,redCircle,True
1719256016133,1719256017655,1719256017922,0,redCircle,redCircle,True
1719256018432,1719256019877,1719256020144,0,redCircle,redCircle,True
1719256020655,1719256021877,1719256022144,0,redCircle,redCircle,True
1719256022655,1719256024099,1719256024355,0,redCircle,redCircle,True
1719256024866,1719256026122,1719256026366,0,redCircle,redCircle,True
1719256026877,1719256028455,1719256028711,0,redCircle,redCircle,True
1719256029222,1719256029988,1719256030300,0,redCircle,redCircle,True
1719256030811,1719256031988,1719256032256,0,redCircle,redCircle,True
1719256032766,1719256034243,1719256034534,0,redCircle,redCircle,True
1719256035044,1719256036399,1719256036689,0,redCircle,redCircle,True
1719256037200,1719256037922,1719256038256,0,redCircle,redCircle,True
1719256038766,1719256039822,1719256040090,0,redCircle,redCircle,True
1719256040599,1719256041843,1719256042112,0,redCircle,redCircle,True
1719256042622,1719256043766,1719256044034,0,redCircle,redCircle,True
1719256044543,1719256045555,1719256045800,0,redCircle,redCircle,True
1719256046310,1719256047377,1719256047623,0,redCircle,redCircle,True
1719256048133,1719256049600,1719256049911,0,redCircle,redCircle,True
