CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719254469520,1719254470520,1719254471019,0,redCircle,redCircle,True
1719254471532,1719254473002,1719254473792,0,redCircle,redCircle,True
1719254474295,1719254475535,1719254476724,0,redCircle,redCircle,True
1719254477231,1719254478730,1719254479102,0,redCircle,redCircle,True
1719254479610,1719254480837,1719254481365,0,redCircle,redCircle,True
1719254481868,1719254483080,1719254483410,0,redCircle,redCircle,True
1719254483913,1719254485100,1719254485663,0,redCircle,redCircle,True
1719254486168,1719254487498,1719254487558,0,redCircle,redCircle,True
1719254488059,1719254489116,1719254489464,0,redCircle,redCircle,True
1719254489979,1719254491208,1719254492325,0,redCircle,redCircle,True
1719254492831,1719254493615,1719254494646,0,redCircle,redCircle,True
1719254495161,1719254496403,1719254496848,0,redCircle,redCircle,True
1719254497349,1719254498550,1719254499496,0,redCircle,redCircle,True
1719254500000,1719254501529,1719254502446,0,redCircle,redCircle,True
1719254502950,1719254504180,1719254504958,0,redCircle,redCircle,True
1719254505463,1719254506190,1719254506846,0,redCircle,redCircle,True
1719254507355,1719254508986,1719254509341,0,redCircle,redCircle,True
1719254509847,1719254510693,1719254511494,0,redCircle,redCircle,True
1719254511998,1719254513627,1719254513987,0,redCircle,redCircle,True
1719254514490,1719254515534,1719254515877,0,redCircle,redCircle,True
1719254516383,1719254517599,1719254517886,0,redCircle,redCircle,True
1719254518391,1719254519292,1719254520024,0,redCircle,redCircle,True
1719254520526,1719254521562,1719254522148,0,redCircle,redCircle,True
1719254522658,1719254524087,1719254524646,0,redCircle,redCircle,True
1719254525147,1719254526404,1719254526879,0,redCircle,redCircle,True
1719254527386,1719254528621,1719254529637,0,redCircle,redCircle,True
1719254530139,1719254531216,1719254531781,0,redCircle,redCircle,True
1719254532296,1719254533214,1719254533615,0,redCircle,redCircle,True
1719254534120,1719254535035,1719254535434,0,redCircle,redCircle,True
1719254535938,1719254537373,1719254537703,0,redCircle,redCircle,True
1719254538214,1719254539879,1719254540234,0,redCircle,redCircle,True
1719254540747,1719254541846,1719254542188,0,redCircle,redCircle,True
1719254542700,1719254543601,1719254544047,0,redCircle,redCircle,True
1719254544555,1719254546229,1719254546615,0,redCircle,redCircle,True
1719254547118,1719254548336,1719254550614,0,redCircle,redCircle,True
1719254551115,1719254551873,1719254552349,0,redCircle,redCircle,True
1719254552860,1719254554347,1719254554648,0,redCircle,redCircle,True
1719254555150,1719254556468,1719254556826,0,redCircle,redCircle,True
1719254557329,1719254558947,1719254559231,0,redCircle,redCircle,True
1719254559734,1719254560537,1719254560941,0,redCircle,redCircle,True
1719254561449,1719254562365,1719254562765,0,redCircle,redCircle,True
1719254563271,1719254564630,1719254564929,0,redCircle,redCircle,True
