CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1719344010691,1719344011629,1719344011927,0,redCircle,redCircle,True
1719344012430,1719344013661,1719344013962,0,redCircle,redCircle,True
1719344014466,1719344015312,1719344015614,0,redCircle,redCircle,True
1719344016131,1719344017304,1719344017607,0,redCircle,redCircle,True
1719344018112,1719344019610,1719344019882,0,redCircle,redCircle,True
1719344020385,1719344021958,1719344022245,0,redCircle,redCircle,True
1719344022757,1719344023777,1719344024081,0,redCircle,redCircle,True
1719344024599,1719344026130,1719344026386,0,redCircle,redCircle,True
1719344026892,1719344028350,1719344028666,0,redCircle,redCircle,True
1719344029172,1719344030327,1719344030629,0,redCircle,redCircle,True
1719344031130,1719344032638,1719344032910,0,redCircle,redCircle,True
1719344033412,1719344034355,1719344034657,0,redCircle,redCircle,True
1719344035165,1719344035913,1719344036270,0,redCircle,redCircle,True
1719344036777,1719344038340,1719344038628,0,redCircle,redCircle,True
1719344039132,1719344040794,1719344041115,0,redCircle,redCircle,True
1719344041618,1719344042882,1719344043200,0,redCircle,redCircle,True
1719344043716,1719344044544,1719344044876,0,redCircle,redCircle,True
1719344045378,1719344047066,1719344047512,0,redCircle,redCircle,True
1719344048015,1719344048747,1719344049075,0,redCircle,redCircle,True
1719344049579,1719344051179,1719344051447,0,redCircle,redCircle,True
1719344051952,1719344053567,1719344053845,0,redCircle,redCircle,True
1719344054349,1719344055999,1719344056297,0,redCircle,redCircle,True
1719344056800,1719344057976,1719344058305,0,redCircle,redCircle,True
1719344058809,1719344059951,1719344060278,0,redCircle,redCircle,True
1719344060779,1719344061986,1719344062276,0,redCircle,redCircle,True
1719344062780,1719344064039,1719344064399,0,redCircle,redCircle,True
1719344064905,1719344065878,1719344066296,0,redCircle,redCircle,True
1719344066799,1719344067586,1719344067917,0,redCircle,redCircle,True
1719344068425,1719344069999,1719344070358,0,redCircle,redCircle,True
1719344070864,1719344072019,1719344072334,0,redCircle,redCircle,True
1719344072844,1719344074174,1719344074463,0,redCircle,redCircle,True
1719344074964,1719344076650,1719344076937,0,redCircle,redCircle,True
1719344077444,1719344079049,1719344079350,0,redCircle,redCircle,True
1719344079855,1719344081416,1719344081701,0,redCircle,redCircle,True
1719344082208,1719344083786,1719344084086,0,redCircle,redCircle,True
1719344084594,1719344086118,1719344086409,0,redCircle,redCircle,True
1719344086913,1719344088514,1719344089000,0,redCircle,redCircle,True
1719344089510,1719344090800,1719344091148,0,redCircle,redCircle,True
1719344091649,1719344092910,1719344093199,0,redCircle,redCircle,True
1719344093700,1719344094479,1719344094782,0,redCircle,redCircle,True
1719344095286,1719344096616,1719344096876,0,redCircle,redCircle,True
1719344097380,1719344098858,1719344099143,0,redCircle,redCircle,True
1719344099650,1719344100620,1719344101024,0,redCircle,redCircle,True
1719344101530,1719344102335,1719344102625,0,redCircle,redCircle,True
1719344103130,1719344104469,1719344104760,0,redCircle,redCircle,True
1719344105262,1719344106508,1719344106951,0,redCircle,redCircle,True
1719344107457,1719344108889,1719344109166,0,redCircle,redCircle,True
1719344109671,1719344110874,1719344111133,0,redCircle,redCircle,True
1719344111642,1719344112991,1719344113407,0,redCircle,redCircle,True
1719344113913,1719344115214,1719344115502,0,redCircle,redCircle,True
1719344116010,1719344116794,1719344117081,0,redCircle,redCircle,True
1719344117587,1719344118658,1719344118961,0,redCircle,redCircle,True
1719344119466,1719344120235,1719344120511,0,redCircle,redCircle,True
1719344121015,1719344122173,1719344122417,0,redCircle,redCircle,True
1719344122922,1719344124251,1719344124553,0,redCircle,redCircle,True
1719344125060,1719344126463,1719344126749,0,redCircle,redCircle,True
1719344127254,1719344128484,1719344128774,0,redCircle,redCircle,True
1719344129276,1719344130779,1719344131050,0,redCircle,redCircle,True
1719344131558,1719344132746,1719344133059,0,redCircle,redCircle,True
1719344133568,1719344134839,1719344135127,0,redCircle,redCircle,True
1719344135633,1719344136579,1719344136921,0,redCircle,redCircle,True
1719344137430,1719344138487,1719344138819,0,redCircle,redCircle,True
1719344139327,1719344140926,1719344141214,0,redCircle,redCircle,True
1719344141721,1719344142457,1719344142902,0,redCircle,redCircle,True
1719344143412,1719344144815,1719344145101,0,redCircle,redCircle,True
1719344145609,1719344146719,1719344147021,0,redCircle,redCircle,True
1719344147527,1719344149251,1719344149528,0,redCircle,redCircle,True
1719344150031,1719344150992,1719344151265,0,redCircle,redCircle,True
1719344151768,1719344152970,1719344153263,0,redCircle,redCircle,True
1719344153765,1719344155416,1719344155721,0,redCircle,redCircle,True
1719344156226,1719344157547,1719344157874,0,redCircle,redCircle,True
1719344158381,1719344159252,1719344159581,0,redCircle,redCircle,True
1719344160087,1719344161632,1719344161903,0,redCircle,redCircle,True
1719344162413,1719344164050,1719344164337,0,redCircle,redCircle,True
1719344164842,1719344165633,1719344165935,0,redCircle,redCircle,True
1719344166438,1719344167697,1719344167983,0,redCircle,redCircle,True
1719344168489,1719344169702,1719344169984,0,redCircle,redCircle,True
1719344170490,1719344171906,1719344172212,0,redCircle,redCircle,True
1719344172716,1719344174087,1719344174374,0,redCircle,redCircle,True
1719344174881,1719344176320,1719344176594,0,redCircle,redCircle,True
1719344177097,1719344178183,1719344178515,0,redCircle,redCircle,True
1719344179017,1719344179788,1719344180103,0,redCircle,redCircle,True
1719344180605,1719344181378,1719344181705,0,redCircle,redCircle,True
1719344182214,1719344183582,1719344183870,0,redCircle,redCircle,True
1719344184377,1719344185088,1719344185492,0,redCircle,redCircle,True
1719344185997,1719344187154,1719344187428,0,redCircle,redCircle,True
1719344187940,1719344189513,1719344189572,0,redCircle,redCircle,True
1719344190080,1719344191231,1719344191534,0,redCircle,redCircle,True
1719344192038,1719344193597,1719344194214,0,redCircle,redCircle,True
1719344194716,1719344196282,1719344196568,0,redCircle,redCircle,True
1719344197074,1719344198067,1719344198371,0,redCircle,redCircle,True
1719344198883,1719344200584,1719344200854,0,redCircle,redCircle,True
1719344201360,1719344202317,1719344202617,0,redCircle,redCircle,True
1719344203119,1719344204404,1719344204732,0,redCircle,redCircle,True
1719344205235,1719344206907,1719344207252,0,redCircle,redCircle,True
1719344207771,1719344209158,1719344209478,0,redCircle,redCircle,True
1719344209984,1719344210703,1719344211035,0,redCircle,redCircle,True
1719344211537,1719344213224,1719344213527,0,redCircle,redCircle,True
1719344214036,1719344215367,1719344215659,0,redCircle,redCircle,True
1719344216167,1719344217508,1719344217872,0,redCircle,redCircle,True
